areacode,area,value,iso3code,region,incomegroup,hdi2015,Key Code
,China,2995400,CHN,WPRO,MIDDLE,0.728,6
21,Brazil,862396,BRA,PAHO,MIDDLE,0.75400001,6
100,India,720725,IND,SEARO,MIDDLE,0.62400001,6
231,United States of America,397535,USA,PAHO,HIGH,0.92000002,5
101,Indonesia,196300,IDN,SEARO,MIDDLE,0.68900001,5
165,Pakistan,129878,PAK,EMRO,MIDDLE,0.55000001,5
130,Malawi,126348,MWI,AFRO,LOW,0.47600001,5
9,Argentina,119434,ARG,PAHO,MIDDLE,0.82700002,5
251,Zambia,112049,ZMB,AFRO,MIDDLE,0.579,5
144,Mozambique,97075,MOZ,AFRO,LOW,0.41800001,4
16,Bangladesh,85000,BGD,SEARO,MIDDLE,0.579,4
116,Democratic People's Republic of Korea,80416,PRK,SEARO,LOW,0.4,4
216,Thailand,79618,THA,SEARO,MIDDLE,0.74000001,4
181,Zimbabwe,76618,ZWE,AFRO,LOW,0.51599997,4
215,United Republic of Tanzania,75726,TZA,AFRO,LOW,0.53100002,4
223,Turkey,74696,TUR,EURO,MIDDLE,0.76700002,4
120,Lao People's Democratic Republic,63355,LAO,WPRO,MIDDLE,0.58600003,4
171,Philippines,61418,PHL,WPRO,MIDDLE,0.68199998,4
106,Italy,53925,ITA,EURO,HIGH,0.88700002,4
237,Viet Nam,49246,VNM,WPRO,MIDDLE,0.68300003,3
28,Myanmar,36000,MMR,SEARO,MIDDLE,0.55599999,3
173,Poland,34893,POL,EURO,HIGH,0.85500002,3
84,Greece,34290,GRC,EURO,HIGH,0.866,3
226,Uganda,31700,UGA,AFRO,LOW,0.493,3
27,Bulgaria,29996,BGR,EURO,MIDDLE,0.79400003,3
117,Republic of Korea,29320,KOR,WPRO,HIGH,0.90100002,3
203,Spain,29140,ESP,EURO,HIGH,0.884,3
44,Colombia,28600,COL,PAHO,MIDDLE,0.727,3
154,The former Yugoslav Republic of Maced.,27578,MKD,EURO,MIDDLE,0.74800003,3
89,Guatemala,27084,GTM,PAHO,MIDDLE,0.63999999,3
33,Canada,26092,CAN,PAHO,HIGH,0.92000002,3
249,Yemen,22277,YEM,EMRO,MIDDLE,0.48199999,3
110,Japan,20000,JPN,WPRO,HIGH,0.903,3
49,Cuba,19800,CUB,PAHO,MIDDLE,0.77499998,3
102,Iran (Islamic Republic of),17749,IRN,EMRO,MIDDLE,0.77399999,3
235,Uzbekistan,15214,UZB,EURO,MIDDLE,0.70099998,3
138,Mexico,15119,MEX,PAHO,MIDDLE,0.76200002,3
115,Cambodia,15068,KHM,WPRO,MIDDLE,0.56300002,3
212,Syrian Arab Republic,14731,SYR,EMRO,MIDDLE,0.53600001,3
202,South Africa,12900,ZAF,AFRO,MIDDLE,0.66600001,3
97,Hungary,9460,HUN,EURO,HIGH,0.83600003,2
68,France,9450,FRA,EURO,HIGH,0.89700001,2
121,Lebanon,9344,LBN,EMRO,MIDDLE,0.76300001,2
272,Serbia,9341,SRB,EURO,MIDDLE,0.77600002,2
58,Ecuador,9190,ECU,PAHO,MIDDLE,0.73900002,2
98,Croatia,9164,HRV,EURO,HIGH,0.82700002,2
56,Dominican Republic,9163,DOM,PAHO,MIDDLE,0.722,2
114,Kenya,8991,KEN,AFRO,MIDDLE,0.55500001,2
107,CÃƒÂ´te d'Ivoire,8912,CIV,AFRO,MIDDLE,0.47400001,2
4,Algeria,8707,DZA,AFRO,MIDDLE,0.745,2
170,Peru,6492,PER,PAHO,MIDDLE,0.74000001,2
40,Chile,6362,CHL,PAHO,HIGH,0.847,2
32,Cameroon,6219,CMR,AFRO,MIDDLE,0.51800001,2
95,Honduras,5928,HND,PAHO,MIDDLE,0.625,2
169,Paraguay,5616,PRY,PAHO,MIDDLE,0.69300002,2
79,Germany,5580,DEU,EURO,HIGH,0.926,2
157,Nicaragua,5367,NIC,PAHO,MIDDLE,0.64499998,2
184,Rwanda,5192,RWA,AFRO,LOW,0.498,2
