COUNTRY,ISO3,REGION,INCOME GROUP,2015 HDI,"PRICE OF A 20-CIGARETTE PACK OF THE MOST-SOLD BRAND, US DOLLARS (adjusted for purchasing power of national currencies)",Key Code,Symbol
Afghanistan,AFG,EMRO,LOW,0.479,1.5,1,1
Angola,AGO,AFRO,MIDDLE,0.533,,,
Albania,ALB,EURO,MIDDLE,0.764,5.23,3,1
Andorra,AND,EURO,HIGH,0.858,,,
UAE,ARE,EMRO,HIGH,0.84,5.33,3,1
Argentina,ARG,PAHO,MIDDLE,0.827,4.35,3,
Armenia,ARM,EURO,MIDDLE,0.743,3.06,2,
Antigua and Barbuda,ATG,PAHO,HIGH,0.786,4.94,3,1
Australia,AUS,WPRO,HIGH,0.939,14.86,6,1
Austria,AUT,EURO,HIGH,0.893,6,4,1
Azerbaijan,AZE,EURO,MIDDLE,0.759,8.51,5,1
Burundi,BDI,AFRO,LOW,0.404,2.57,2,
Belgium,BEL,EURO,HIGH,0.896,7.63,4,1
Benin,BEN,AFRO,LOW,0.485,2.31,2,
Burkina Faso,BFA,AFRO,LOW,0.402,3.06,2,
Bangladesh,BGD,SEARO,MIDDLE,0.579,3.39,2,1
Bulgaria,BGR,EURO,MIDDLE,0.794,7.94,4,
Bahrain,BHR,EMRO,HIGH,0.824,8.33,5,1
Bahamas,BHS,PAHO,HIGH,0.792,8.97,5,1
Bosnia and Herzegovina,BIH,EURO,MIDDLE,0.75,6.61,4,1
Belarus,BLR,EURO,MIDDLE,0.796,1.66,1,1
Belize,BLZ,PAHO,MIDDLE,0.706,4.36,3,
Bolivia ,BOL,PAHO,MIDDLE,0.674,3.52,2,1
Brazil,BRA,PAHO,MIDDLE,0.754,3.17,2,1
Barbados,BRB,PAHO,HIGH,0.795,8.06,5,1
Brunei Dar.,BRN,WPRO,HIGH,0.865,,,
Bhutan,BTN,SEARO,MIDDLE,0.607,,,
Botswana,BWA,AFRO,MIDDLE,0.698,8.83,5,
Central African Rep.,CAF,AFRO,LOW,0.352,,,
Canada,CAN,PAHO,HIGH,0.92,8.54,5,
Switz.,CHE,EURO,HIGH,0.939,6.49,4,1
Chile,CHL,PAHO,HIGH,0.847,5.75,3,1
China,CHN,WPRO,MIDDLE,0.738,2.84,2,
Côte d'Ivoire,CIV,AFRO,MIDDLE,0.474,3.42,2,
Cameroon,CMR,AFRO,MIDDLE,0.518,2.14,2,
Dem. Rep. of Congo,COD,AFRO,LOW,0.722,1.51,1,
Congo,COG,AFRO,MIDDLE,0.592,3.78,2,
Cook Islands,COK,WPRO,,,,,
Colombia,COL,PAHO,MIDDLE,0.727,2.19,2,
Comoros,COM,AFRO,LOW,0.498,3.44,2,
Cape Verde,CPV,AFRO,MIDDLE,0.648,3.87,2,
Costa Rica,CRI,PAHO,MIDDLE,0.776,4.37,3,1
Cuba,CUB,PAHO,MIDDLE,0.775,,,
Cyprus,CYP,EURO,HIGH,0.856,6.89,4,1
Czech Rep.,CZE,EURO,HIGH,0.878,6.28,4,1
Germany,DEU,EURO,HIGH,0.926,7.62,4,1
Djibouti,DJI,EMRO,MIDDLE,0.473,1.99,1,
Dominica,DMA,PAHO,MIDDLE,0.726,2.47,2,
Denmark,DNK,EURO,HIGH,0.925,5.77,3,1
Dominican Rep.,DOM,PAHO,MIDDLE,0.722,7.28,4,
Algeria,DZA,AFRO,MIDDLE,0.745,4.62,3,
Ecuador,ECU,PAHO,MIDDLE,0.739,9.58,5,1
Egypt,EGY,EMRO,MIDDLE,0.691,3.98,2,1
Eritrea,ERI,AFRO,LOW,0.42,11.14,6,
Spain,ESP,EURO,HIGH,0.884,7.3,4,1
Estonia,EST,EURO,HIGH,0.865,7,4,1
Ethiopia,ETH,AFRO,LOW,0.448,1.8,1,
Finland,FIN,EURO,HIGH,0.895,6.57,4,1
Fiji,FJI,WPRO,MIDDLE,0.736,10.31,6,1
France,FRA,EURO,HIGH,0.897,8.6,5,1
Fed. States of Micronesia,FSM,WPRO,MIDDLE,0.638,2.41,2,1
Gabon,GAB,AFRO,MIDDLE,0.697,4.22,3,
United Kingdom,GBR,EURO,HIGH,0.91,11.98,6,1
Georgia,GEO,EURO,MIDDLE,0.769,2.76,2,
Ghana,GHA,AFRO,MIDDLE,0.579,3.61,2,
Guinea,GIN,AFRO,LOW,0.414,0.97,1,
Gambia,GMB,AFRO,LOW,0.452,3.21,2,1
Guinea-Bissau,GNB,AFRO,LOW,0.424,2.07,2,
Equatorial Guinea,GNQ,AFRO,MIDDLE,0.592,2.32,2,
Greece,GRC,EURO,HIGH,0.866,6.62,4,1
Grenada,GRD,PAHO,MIDDLE,0.754,4.68,3,
Guatemala,GTM,PAHO,MIDDLE,0.64,4.12,3,
Guyana,GUY,PAHO,MIDDLE,0.638,2.97,2,
Hong Kong,HKG,,HIGH,0.917,,,
Honduras,HND,PAHO,MIDDLE,0.625,3.95,2,1
Croatia,HRV,EURO,HIGH,0.827,6.64,4,1
Haiti,HTI,PAHO,LOW,0.493,3.36,2,
Hungary,HUN,EURO,HIGH,0.836,8.78,5,1
Indonesia,IDN,SEARO,MIDDLE,0.689,5.23,3,
India,IND,SEARO,MIDDLE,0.624,9.17,5,1
Ireland,IRL,EURO,HIGH,0.923,12.69,6,
Isl. Rep. of Iran,IRN,EMRO,MIDDLE,0.774,2.03,2,
Iraq,IRQ,EMRO,MIDDLE,0.649,3.23,2,
Iceland,ISL,EURO,HIGH,0.921,8.57,5,
Israel,ISR,EURO,HIGH,0.899,8.84,5,1
Italy,ITA,EURO,HIGH,0.887,6.96,4,1
Jamaica,JAM,PAHO,MIDDLE,0.73,14.3,6,1
Jordan,JOR,EMRO,MIDDLE,0.742,4.31,3,
Japan,JPN,WPRO,HIGH,0.903,4.3,3,1
Kazakhstan,KAZ,EURO,MIDDLE,0.794,2.96,2,
Kenya,KEN,AFRO,MIDDLE,0.555,2.82,2,
Kyrgyzstan,KGZ,EURO,MIDDLE,0.664,2.6,2,
Cambodia,KHM,WPRO,MIDDLE,0.563,1.44,1,
Kiribati,KIR,WPRO,MIDDLE,0.588,5.69,3,
St. Kitts and Nevis,KNA,PAHO,HIGH,0.765,4.43,3,
Rep. Korea,KOR,WPRO,HIGH,0.901,5.38,3,
Kuwait,KWT,EMRO,HIGH,0.8,6.76,4,1
LAO PDR,LAO,WPRO,MIDDLE,0.586,2.54,2,
