ISO3,W-MM_Group_16
DZA,1
AGO,2
BEN,1
BWA,2
BFA,2
BDI,1
CPV,2
CMR,5
CAF,1
TCD,1
COM,2
COG,2
CIV,4
COD,2
GNQ,1
ERI,1
ETH,4
GAB,2
GMB,2
GHA,2
GIN,2
GNB,2
KEN,5
LSO,1
LBR,1
MDG,2
MWI,1
MLI,2
MRT,1
MUS,5
MOZ,2
NAM,2
NER,2
NGA,1
RWA,1
STP,1
SEN,2
SYC,5
SLE,4
ZAF,2
SSD,2
SWZ,1
TGO,2
UGA,2
TZA,1
ZMB,2
ZWE,2
ATG,3
ARG,4
BHS,2
BRB,2
BLZ,1
BOL,2
BRA,3
CAN,2
CHL,2
COL,5
CRI,5
CUB,1
DMA,1
DOM,2
ECU,2
SLV,5
GRD,2
GTM,2
GUY,2
HTI,2
HND,5
JAM,1
MEX,1
NIC,2
PAN,3
PRY,2
PER,3
KNA,2
LCA,2
VCT,1
SUR,5
TTO,2
USA,5
URY,2
VEN,2
AFG,2
BHR,3
DJI,1
EGY,2
IRN,4
IRQ,3
JOR,5
KWT,2
LBN,2
LBY,2
MAR,5
OMN,2
PAK,5
QAT,1
SAU,3
SOM,2
SDN,2
SYR,2
TUN,4
ARE,4
PSE,2
YEM,2
ALB,3
AND,2
ARM,1
AUT,5
AZE,2
BLR,1
BEL,4
BIH,1
BGR,2
HRV,2
CYP,4
CZE,2
DNK,5
EST,5
FIN,1
FRA,1
GEO,4
DEU,4
GRC,2
HUN,2
ISL,2
IRL,5
ISR,2
ITA,5
KAZ,4
KGZ,1
LVA,4
LTU,2
LUX,4
MLT,1
MCO,1
MNE,2
NLD,5
NOR,5
POL,4
PRT,5
MDA,5
ROU,4
RUS,4
SMR,2
SRB,2
SVK,2
SVN,2
ESP,2
SWE,2
CHE,5
TJK,2
MKD,2
TUR,5
TKM,1
UKR,2
GBR,5
UZB,2
BGD,5
BTN,2
PRK,5
IND,4
IDN,5
MDV,2
MMR,2
NPL,5
LKA,2
THA,5
TLS,4
AUS,5
BRN,2
KHM,5
CHN,5
COK,2
FJI,5
JPN,2
KIR,5
LAO,1
MYS,5
MHL,2
FSM,2
MNG,2
NRU,2
NZL,5
NIU,1
PLW,1
PNG,2
PHL,5
KOR,5
WSM,1
SGP,5
SLB,1
TON,5
TUV,2
VUT,2
VNM,5
