Country,ISO3,Female-Prevalence,Female-Key Code,Female-Symbol,,Male-Prevalence,Male-Key Code,Male-Symbol,,Age,Year,Source,,,,,,,,
Afghanistan,AFG,7,1,No,,21.4,3,No,,10+,2015,IHME,,,,,,,,
Albania,ALB,6.1,1,No,,40.9,5,No,,15+,2015,WHO Trend 2015,,,,,,,,
Algeria,DZA,2.2,1,No,,17.5,2,No,,10+,2015,IHME,,,,,,,,
Andorra,AND,19.8,2,Yes,,30.1,4,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Angola,AGO,1.6,1,No,,14.2,2,No,,10+,2015,IHME,,,,,,,,
Antigua and Barbuda,ATG,2.2,1,No,,4.4,1,No,,10+,2015,IHME,,,,,,,,
Argentina,ARG,12.6,2,Yes,,21,3,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Armenia,ARM,1.5,1,No,,43.5,5,Yes,,10+,2015,IHME,,,,,,,,
Australia,AUS,13.3,2,Yes,,15.6,2,No,,10+,2015,IHME,,,,,,,,
Austria,AUT,15.8,2,Yes,,18.9,2,Yes,,15+,2015,GTCR 2017,,,,,,,,
Azerbaijan,AZE,0.3,1,No,,36.7,4,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Bahamas,BHS,3.7,1,No,,8,1,No,,10+,2015,IHME,,,,,,,,
Bahrain,BHR,5.7,1,No,,44.5,5,No,,15+,2015,WHO Trend 2015,,,,,,,,
Bangladesh,BGD,0.5,1,No,,35.4,4,No,,15+,2015,WHO Trend 2015,,,,,,,,
Barbados,BRB,0.7,1,No,,9.1,1,No,,15+,2015,WHO Trend 2015,,,,,,,,
Belarus,BLR,6.4,1,Yes,,39.6,4,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Belgium,BEL,16.4,2,Yes,,21.6,3,Yes,,15+,2013,GTCR 2017,,,,,,,,
Belize,BLZ,2.1,1,No,,13.3,2,No,,10+,2015,IHME,,,,,,,,
Benin,BEN,1,1,No,,8.6,1,No,,10+,2015,IHME,,,,,,,,
Bhutan,BTN,3.8,1,No,,8.5,1,No,,10+,2015,IHME,,,,,,,,
Bolivia,BOL,11.8,2,No,,22.3,3,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Bosnia and Herzegovina,BIH,22.6,3,No,,39.1,4,No,,15+,2015,WHO Trend 2015,,,,,,,,
Botswana,BWA,3.5,1,No,,25.4,3,No,,15—69,2014,GTCR 2017,,,,,,,,
Brazil,BRA,8.9,1,No,,15.4,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Brunei Dar.,BRN,1.8,1,No,,22.6,3,No,,15+,2015,GTCR 2017,,,,,,,,
Bulgaria,BGR,17.5,2,Yes,,34.3,4,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Burkina Faso,BFA,3.5,1,No,,30.5,4,No,,15+,2015,WHO Trend 2015,,,,,,,,
Burundi,BDI,0.9,1,No,,9.7,1,No,,10+,2015,IHME,,,,,,,,
Cambodia,KHM,2.4,1,No,,32.1,4,No,,15+,2014,GTCR 2017,,,,,,,,
