Country,ISO3,Male-% Tobacco-related Deaths,Male-KeyCode,Male-No. Tobacco-related Deaths,,Female-% Tobacco-related Deaths,Female-KeyCode,Female-No. Tobacco-related Deaths
Afghanistan,AFG,10,3,16109,,7.7,2,10888
Angola,AGO,5.1000000000000005,2,4384,,2.6,1,2125
Albania,ALB,25.200000000000003,6,3234,,9.1,2,876
Andorra,AND,19.6,4,75,,7.1000000000000005,2,25
United Arab Emirates,ARE,12.8,3,2718,,6,2,265
Argentina,ARG,17.900000000000002,4,30704,,10.4,3,17064
Armenia,ARM,29.200000000000003,6,4064,,8.1,2,1082
Antigua and Barbuda,ATG,4.7,1,12,,2.5,1,6
Australia,AUS,15.700000000000001,4,13374,,11,3,8849
Austria,AUT,16.7,4,6576,,8.3,2,3590
Azerbaijan,AZE,23.5,5,9550,,8.5,2,2515
Burundi,BDI,3.8000000000000003,1,2029,,1.4000000000000001,1,666
Belgium,BEL,23.700000000000003,5,13229,,9.600000000000001,2,5507
Benin,BEN,5,2,2177,,1.9000000000000001,1,726
Burkina Faso,BFA,4.2,1,3465,,1.8,1,1430
Bangladesh,BGD,25.5,6,127350,,9.700000000000001,2,33903
Bulgaria,BGR,22.3,5,12573,,8.4,2,4481
Bahrain,BHR,11.700000000000001,3,255,,7.5,2,105
Bahamas,BHS,9.1,2,136,,3.4000000000000004,1,49
Bosnia and Herzegovina,BIH,29.8,6,6060,,13.700000000000001,3,2535
Belarus,BLR,25.1,6,15190,,4.3,1,2629
Belize,BLZ,9.600000000000001,2,106,,4.3,1,32
Bolivia,BOL,7.5,2,2574,,6,2,2071
Brazil,BRA,12.4,3,91278,,10.5,3,58899
Barbados,BRB,5.2,2,70,,1.8,1,24
Brunei,BRN,16.1,4,161,,10.600000000000001,3,72
Bhutan,BTN,6.5,2,155,,4.4,1,66
Botswana,BWA,11.100000000000001,3,1132,,5.7,2,419
Central African Rep.,CAF,5.9,2,2485,,1.6,1,608
Canada,CAN,19.400000000000002,4,26610,,15.600000000000001,4,21127
Switzerland,CHE,16.7,4,5509,,8.8,2,3050
Chile,CHL,12.3,3,7089,,9.700000000000001,2,4990
China,CHN,24.900000000000002,5,1475124,,12.8,3,477163
Côte d'Ivoire,CIV,5.6000000000000005,2,6791,,2.6,1,2320
Cameroon,CMR,5.2,2,6023,,2,1,2013
Dem. Rep. of Congo,COD,5,2,17215,,1.6,1,5369
Congo,COG,4.7,1,844,,3.2,1,654
Cook Islands,COK,,,,,,,
Colombia,COL,10,3,12249,,8.8,2,8646
Comoros,COM,7.1000000000000005,2,156,,2.2,1,45
Cape Verde,CPV,9.700000000000001,2,167,,5.2,2,59
Costa Rica,CRI,7,2,848,,3.7,1,339
Cuba,CUB,23.5,5,12418,,16.1,4,7031
Cyprus,CYP,19.6,4,726,,5.800000000000001,2,205
Czech Rep.,CZE,21.3,5,11550,,11.3,3,6114
Germany,DEU,18.400000000000002,4,82833,,8.9,2,41956
Djibouti,DJI,10.5,3,394,,3.9000000000000004,1,122
Dominica,DMA,8.5,2,29,,3.6,1,10
Denmark,DNK,22.200000000000003,5,5942,,20.8,5,5433
Dominican Rep.,DOM,9.200000000000001,2,3010,,8.6,2,2097
Algeria,DZA,11.5,3,10717,,5,2,4240
Ecuador,ECU,5.7,2,2395,,3.5,1,1164
Egypt,EGY,17.1,4,49925,,5,2,11370
Eritrea,ERI,4.1000000000000005,1,711,,1.4000000000000001,1,251
Spain,ESP,22.3,5,46557,,5.1000000000000005,2,10659
Estonia,EST,20.5,5,1518,,6.300000000000001,2,538
Ethiopia,ETH,3.9000000000000004,1,13469,,1,1,3405
Finland,FIN,13.9,3,3617,,5.800000000000001,2,1512
Fiji,FJI,14.9,3,681,,7.1000000000000005,2,268
France,FRA,18.5,4,54704,,6.4,2,18841
Fed. States of Micronesia,FSM,20.5,5,91,,10.5,3,41
Gabon,GAB,5.4,2,386,,2.8000000000000003,1,183
United Kingdom,GBR,20.5,5,62776,,16.900000000000002,4,51737
Georgia,GEO,23.1,5,5967,,5.7,2,1271
Ghana,GHA,3.9000000000000004,1,3896,,1.2000000000000002,1,1116
Guinea,GIN,6.1000000000000005,2,3622,,1.5,1,831
Gambia,GMB,6.4,2,395,,2.5,1,124
