HDI,Year,Smokers,
Low HDI,1980,19200369.323,
Low HDI,1981,19622300.72,
Low HDI,1982,20053216.292,
Low HDI,1983,20502211.031,
Low HDI,1984,20990753.331,
Low HDI,1985,21527729.727,
Low HDI,1986,22025962.039,
Low HDI,1987,22599554.758,
Low HDI,1988,23219579.951,
Low HDI,1989,23860511.945,
Low HDI,1990,24551510.174,
Low HDI,1991,25145123.733,
Low HDI,1992,25745781.858,
Low HDI,1993,26342523.33,
Low HDI,1994,26924875.296,
Low HDI,1995,27480277.896,
Low HDI,1996,27853009.657,
Low HDI,1997,28217811.522,
Low HDI,1998,28456451.388,
Low HDI,1999,28675955.882,
Low HDI,2000,29038916.038,
Low HDI,2001,29386959.728,
Low HDI,2002,29783268.237,
Low HDI,2003,30289978.023,
Low HDI,2004,30708816.889,
Low HDI,2005,31143602.264,
Low HDI,2006,31565507.063,
Low HDI,2007,32017706.93,
Low HDI,2008,32546146.609,
Low HDI,2009,33134393.782,
Low HDI,2010,33751281.713,
Low HDI,2011,34360318.961,
Low HDI,2012,35012188.615,
Low HDI,2013,35684520.033,
Low HDI,2014,36481391.749,
Low HDI,2015,37332523.787,
Medium HDI,1980,157998618.0375,
Medium HDI,1981,161953675.6879,
Medium HDI,1982,166108450.6444,
Medium HDI,1983,170400888.9929,
Medium HDI,1984,174834497.9237,
Medium HDI,1985,179393260.9622,
Medium HDI,1986,183577455.6654,
Medium HDI,1987,188004228.6523,
Medium HDI,1988,192535612.6288,
Medium HDI,1989,197201381.6366,
Medium HDI,1990,202138256.9573,
Medium HDI,1991,207054159.4119,
Medium HDI,1992,212217337.8603,
Medium HDI,1993,217675106.1643,
Medium HDI,1994,223600509.3692,
Medium HDI,1995,229943915.6141,
Medium HDI,1996,236425263.9772,
Medium HDI,1997,243420273.6907,
Medium HDI,1998,249270151.592,
Medium HDI,1999,253554436.9001,
Medium HDI,2000,257095705.9186,
Medium HDI,2001,259852101.6462,
Medium HDI,2002,260210879.4078,
Medium HDI,2003,261123576.3162,
Medium HDI,2004,261447290.0785,
Medium HDI,2005,262140400.3466,
Medium HDI,2006,262122238.3591,
Medium HDI,2007,262872595.416,
Medium HDI,2008,264650183.861,
Medium HDI,2009,266890561.9181,
Medium HDI,2010,269596230.3489,
Medium HDI,2011,271995061.6971,
Medium HDI,2012,273753506.5205,
Medium HDI,2013,273912495.0093,
Medium HDI,2014,273571869.4589,
Medium HDI,2015,276292963.8926,
High HDI,1980,262843954.1047,
High HDI,1981,271799450.7156,
High HDI,1982,280816449.9583,
High HDI,1983,290165024.8421,
High HDI,1984,300111373.0022,
High HDI,1985,310430270.8479,
High HDI,1986,320393191.6461,
High HDI,1987,330578563.4081,
High HDI,1988,339640112.4566,
High HDI,1989,347184572.9765,
High HDI,1990,353579124.2919,
High HDI,1991,357854814.4698,
High HDI,1992,362458789.7504,
High HDI,1993,366840343.2455,
High HDI,1994,370801504.3453,
High HDI,1995,373720240.5654,
High HDI,1996,375776459.1266,
High HDI,1997,376230950.4141,
High HDI,1998,376083411.6078,
High HDI,1999,375315738.9294,
High HDI,2000,374104715.4726,
High HDI,2001,373653774.0005,
High HDI,2002,374175605.6886,
High HDI,2003,376567634.0973,
High HDI,2004,379071821.1509,
High HDI,2005,380395157.9753,
High HDI,2006,380360382.7734,
High HDI,2007,379733086.1611,
High HDI,2008,379172598.5281,
High HDI,2009,380966753.7467,
High HDI,2010,382599412.8,
High HDI,2011,383867990.6322,
High HDI,2012,384832586.0624,
High HDI,2013,386210582.7845,
High HDI,2014,387778319.7933,
High HDI,2015,389424230.333,
Very High HDI,1980,274127118.2276,
Very High HDI,1981,273472345.7105,
Very High HDI,1982,272192232.4968,
Very High HDI,1983,270541519.3887,
Very High HDI,1984,268710105.8782,
Very High HDI,1985,266871714.7,
Very High HDI,1986,265103772.588,
Very High HDI,1987,263565089.825,
Very High HDI,1988,261592832.242,
Very High HDI,1989,259407893.899,
Very High HDI,1990,257644551.84,
Very High HDI,1991,256218544.558,
Very High HDI,1992,255012772.871,
Very High HDI,1993,254058660.504,
Very High HDI,1994,253822780.326,
Very High HDI,1995,253977236.548,
Very High HDI,1996,254328784.275,
Very High HDI,1997,254477083.228,
Very High HDI,1998,254471424.248,
Very High HDI,1999,254015217.017,
Very High HDI,2000,253117703.469,
Very High HDI,2001,252094005.172,
Very High HDI,2002,250657007.625,
Very High HDI,2003,248970512.836,
Very High HDI,2004,246879603.168,
Very High HDI,2005,244594224.727,
Very High HDI,2006,242110573.084,
Very High HDI,2007,239718716.043,
Very High HDI,2008,237287585.25,
Very High HDI,2009,234809015.38,
Very High HDI,2010,232314217.62,
Very High HDI,2011,230151003.746,
Very High HDI,2012,228222443.41,
Very High HDI,2013,226353864.271,
Very High HDI,2014,224853857.218,
Very High HDI,2015,223640753.074,
