Country,ISO3,Total economic cost (2016 PPP$ million),Key Code,Symbol (Total economic cost>10000 PPP$ million)
Afghanistan,AFG,1258.28968272967,3,
Albania,ALB,846.817556370866,4,
Algeria,DZA,6822.83519929441,3,
Argentina,ARG,8715.66944004329,3,
Armenia,ARM,924.303718117586,4,
Australia,AUS,15657.5246857385,2,Yes
Austria,AUT,8532.29059952166,3,
Azerbaijan,AZE,4667.22960533263,3,
Bahamas,BHS,40.6944656984789,5,
Bahrain,BHR,275.230668335233,4,
Bangladesh,BGD,7030.70688622932,3,
Barbados,BRB,8.49830327888558,6,
Belarus,BLR,4730.85360786666,3,
Belgium,BEL,12006.9536785411,2,Yes
Belize,BLZ,9.63469980314035,5,
Benin,BEN,17.762440697128,5,
Bhutan,BTN,75.7795021727691,5,
Bolivia,BOL,191.913236069819,4,
Bosnia and Herzegovina,BIH,1248.36123609449,3,
Botswana,BWA,117.977688102199,4,
Brazil,BRA,49009.1603540051,2,Yes
Brunei Darussalam,BRN,400.266901475347,4,
Bulgaria,BGR,4598.63751372602,3,
Burkina Faso,BFA,60.6548262044318,5,
Burundi,BDI,11.5258191729838,5,
Cabo Verde,CPV,2.67157413520554,6,
Cambodia,KHM,711.775140959369,4,
Cameroon,CMR,136.146321669607,4,
Canada,CAN,28006.0214616086,2,Yes
Central African Republic,CAF,7.89509147513931,6,
Chad,TCD,61.0064619505055,5,
Chile,CHL,2252.42590179837,3,
China,CHN,121202.096059736,1,Yes
Colombia,COL,3225.89067702981,3,
Comoros,COM,1.40459224808706,6,
Costa Rica,CRI,185.64634041962,4,
Côte d'Ivoire,CIV,264.019195151682,4,
Croatia,HRV,2893.98087532894,3,
Cuba,CUB,4475.55278284042,3,
Cyprus,CYP,238.737611592368,4,
Czech Republic,CZE,7922.25949645615,3,
Denmark,DNK,6905.07709588191,3,
Djibouti,DJI,4.84869394399556,6,
Dominican Republic,DOM,940.072239268711,4,
Ecuador,ECU,296.773049770026,4,
Egypt,EGY,10970.1432586774,2,Yes
El Salvador,SLV,85.4437555518585,5,
Equatorial Guinea,GNQ,224.619189718982,4,
Estonia,EST,942.664870503367,4,
Ethiopia,ETH,228.447245126357,4,
Finland,FIN,2902.24840773322,3,
France,FRA,62617.5412355401,2,Yes
Gabon,GAB,270.399211925078,4,
Gambia,GMB,5.43052481624373,6,
Georgia,GEO,760.136112690981,4,
Germany,DEU,76188.1893760089,2,Yes
Ghana,GHA,121.90214226214,4,
Greece,GRC,7429.63470762996,3,
Guatemala,GTM,405.414223293401,4,
Guinea,GIN,63.1297121042006,5,
Guinea-Bissau,GNB,3.64385730625838,6,
Guyana,GUY,29.9232362502973,5,
Haiti,HTI,63.9628430055062,5,
Honduras,HND,212.875490429233,4,
Hungary,HUN,12207.8240602031,2,Yes
Iceland,ISL,196.986159420971,4,
India,IND,132834.093359683,1,Yes
Indonesia,IDN,196218.410350801,1,Yes
Iran,IRN,5260.5563948326,3,
Iraq,IRQ,13986.0471442858,2,Yes
Ireland,IRL,3519.61216164065,3,
Israel,ISR,2337.25820339373,3,
Italy,ITA,35426.6508939027,2,Yes
Jamaica,JAM,290.092184832555,4,
Japan,JPN,41744.9942376397,2,Yes
Jordan,JOR,1685.4427345363,3,
Kazakhstan,KAZ,15248.4453604923,2,Yes
Kenya,KEN,83.2536763776394,5,
Kuwait,KWT,233.622107346213,4,
Kyrgyzstan,KGZ,390.021026860623,4,
Lao PDR,LAO,472.890914383204,4,
Latvia,LVA,1184.93740032131,3,
Lebanon,LBN,796.202862038568,4,
Lesotho,LSO,19.7708290687661,5,
Liberia,LBR,10.7698614225697,5,
Libya,LBY,1616.13467067364,3,
Lithuania,LTU,8418.14084865316,3,
Luxembourg,LUX,783.196658890786,4,
Macedonia,MKD,824.10774611016,4,
Madagascar,MDG,126.667577975434,4,
Malaysia,MYS,12293.141567366,2,Yes
Mali,MLI,30.8908546800051,5,
Malta,MLT,211.851265422614,4,
Mauritania,MRT,16.171478238585,5,
Mauritius,MUS,233.219153322829,4,
Mexico,MEX,7733.09010145285,3,
Moldova,MDA,623.921101301638,4,
Mongolia,MNG,891.681734563887,4,
Morocco,MAR,4804.23988350389,3,
Myanmar,MMR,13266.4182144343,2,Yes
Namibia,NAM,67.7828509894503,5,
Nepal,NPL,1033.28741335566,3,
Netherlands,NLD,21838.4924572459,2,Yes
New Zealand,NZL,2301.49583450946,3,
Nicaragua,NIC,148.480239476135,4,
Norway,NOR,5680.44920042537,3,
Oman,OMN,370.741246061201,4,
Pakistan,PAK,6022.17506047262,3,
Panama,PAN,252.04313429474,4,
Papua New Guinea,PNG,60.8586492789152,5,
Paraguay,PRY,555.120444055301,4,
Peru,PER,1154.26216067114,3,
Philippines,PHL,16646.3752350467,2,Yes
Poland,POL,32513.7867384916,2,Yes
Portugal,PRT,5016.45795928427,3,
Qatar,QAT,512.592979915594,4,
Romania,ROU,14950.1452282064,2,Yes
Russian Federation,RUS,153128.807064142,1,Yes
Rwanda,RWA,17.2199580952575,5,
Saudi Arabia,SAU,3739.46794370685,3,
Senegal,SEN,25.2335667991899,5,
Sierra Leone,SLE,48.9291076711324,5,
Singapore,SGP,3843.65881485475,3,
Slovakia,SVK,4256.46815591249,3,
Slovenia,SVN,1410.04498549424,3,
Solomon Islands,SLB,3.00043900691692,6,
South Africa,ZAF,12619.0232242332,2,Yes
South Korea,KOR,18109.653551238,2,Yes
Spain,ESP,31593.5788841454,2,Yes
Sri Lanka,LKA,2471.33944950043,3,
Sudan,SDN,77.8110897567253,5,
Suriname,SUR,73.3405741955015,5,
Swaziland,SWZ,28.8861180874736,5,
Sweden,SWE,4470.80814884121,3,
Switzerland,CHE,7521.93731557393,3,
Syria,SYR,1202.45486027114,3,
Tajikistan,TJK,168.320339460839,4,
Thailand,THA,17465.4373685987,2,Yes
Timor-Leste,TLS,143.407647094746,4,
Togo,TGO,11.3145442843732,5,
Trinidad and Tobago,TTO,701.606986685875,4,
Tunisia,TUN,2237.48506790216,3,
Turkey,TUR,44047.7349331745,2,Yes
Ukraine,UKR,12945.9586107534,2,Yes
United Arab Emirates,ARE,569.205149251514,4,
United Kingdom,GBR,45870.9445084185,2,Yes
United States,USA,531002.683387603,1,Yes
Uruguay,URY,1706.47648858983,3,
Uzbekistan,UZB,2470.38364926101,3,
Venezuela ,VEN,5219.880435634,3,
Viet Nam,VNM,12656.343056685,2,Yes
Yemen,YEM,800.183330160786,4,
,,,,
