region,year,value,,,,,,,,,,,,,,,,,,,
AFRO,1999,123815000000,,,,,,,,,,,,,,,,,,,
AFRO,2000,122881800000,,,,,,,,,,,,,,,,,,,
AFRO,2001,122491800000,,,,,,,,,,,,,,,,,,,
AFRO,2002,126192500000,,,,,,,,,,,,,,,,,,,
AFRO,2003,126726100000,,,,,,,,,,,,,,,,,,,
AFRO,2004,127238200000,,,,,,,,,,,,,,,,,,,
AFRO,2005,128835200000,,,,,,,,,,,,,,,,,,,
AFRO,2006,130159300000,,,,,,,,,,,,,,,,,,,
AFRO,2007,131692800000,,,,,,,,,,,,,,,,,,,
AFRO,2008,133082600000,,,,,,,,,,,,,,,,,,,
AFRO,2009,135702900000,,,,,,,,,,,,,,,,,,,
AFRO,2010,138665500000,,,,,,,,,,,,,,,,,,,
AFRO,2011,142748100000,,,,,,,,,,,,,,,,,,,
AFRO,2012,149691200000,,,,,,,,,,,,,,,,,,,
AFRO,2013,151380100000,,,,,,,,,,,,,,,,,,,
AFRO,2014,152551400000,,,,,,,,,,,,,,,,,,,
AFRO,2015,153979300000,,,,,,,,,,,,,,,,,,,
AFRO,2016,155175900000,,,,,,,,,,,,,,,,,,,
AMRO,1999,774287000000,,,,,,,,,,,,,,,,,,,
AMRO,2000,754832000000,,,,,,,,,,,,,,,,,,,
AMRO,2001,748514300000,,,,,,,,,,,,,,,,,,,
AMRO,2002,719039700000,,,,,,,,,,,,,,,,,,,
AMRO,2003,733675500000,,,,,,,,,,,,,,,,,,,
AMRO,2004,719535900000,,,,,,,,,,,,,,,,,,,
AMRO,2005,713478800000,,,,,,,,,,,,,,,,,,,
AMRO,2006,704608800000,,,,,,,,,,,,,,,,,,,
AMRO,2007,682608100000,,,,,,,,,,,,,,,,,,,
AMRO,2008,657934900000,,,,,,,,,,,,,,,,,,,
AMRO,2009,614412200000,,,,,,,,,,,,,,,,,,,
AMRO,2010,599074900000,,,,,,,,,,,,,,,,,,,
AMRO,2011,582492300000,,,,,,,,,,,,,,,,,,,
AMRO,2012,562763500000,,,,,,,,,,,,,,,,,,,
AMRO,2013,535184300000,,,,,,,,,,,,,,,,,,,
AMRO,2014,517651900000,,,,,,,,,,,,,,,,,,,
AMRO,2015,504850500000,,,,,,,,,,,,,,,,,,,
AMRO,2016,479563200000,,,,,,,,,,,,,,,,,,,
China,1999,1638000000000,,,,,,,,,,,,,,,,,,,
China,2000,1667000000000,,,,,,,,,,,,,,,,,,,
China,2001,1702000000000,,,,,,,,,,,,,,,,,,,
China,2002,1719502300000,,,,,,,,,,,,,,,,,,,
China,2003,1759519200000,,,,,,,,,,,,,,,,,,,
China,2004,1817321500000,,,,,,,,,,,,,,,,,,,
China,2005,1884798600000,,,,,,,,,,,,,,,,,,,
China,2006,1948823500000,,,,,,,,,,,,,,,,,,,
China,2007,2057765100000,,,,,,,,,,,,,,,,,,,
China,2008,2143145800000,,,,,,,,,,,,,,,,,,,
China,2009,2229152800000,,,,,,,,,,,,,,,,,,,
China,2010,2316744900000,,,,,,,,,,,,,,,,,,,
China,2011,2406247000000,,,,,,,,,,,,,,,,,,,
China,2012,2461603100000,,,,,,,,,,,,,,,,,,,
China,2013,2490528000000,,,,,,,,,,,,,,,,,,,
China,2014,2549500000000,,,,,,,,,,,,,,,,,,,
China,2015,2489500000000,,,,,,,,,,,,,,,,,,,
