Country,ISO3,Women,Men
Saudi Arabia,SAU,0.5166213775485298,0.3380675215300538
Pakistan ,PAK,0.3342245989304813,0.08001735761142033
UAE ,ARE,0.23004851932407566,0.13473780024073154
Lebanon ,LBN,0.14480581540154655,0.13236678007466313
Jordan ,JOR,0.13329505372816014,0.08853961821716626
Syria ,SYR,0.09328979809422269,0.055611866942837304
Algeria ,DZA,0.09254118082546733,0.01728515097499055
Egypt ,EGY,0.08984260267108968,0.17327659901451334
Tunisia ,TUN,0.04374070510016622,0.049533222223517206
Morocco ,MAR,0.035290796160361376,0.015484430405227546
Turkey ,TUR,0.0036535304847973987,0.016675856318670235
