Country,iso3code,Prevalence %,Key code,,Year,Age,Use,Survey title,Survey coverage
Afghanistan,AFG,8.7,2,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey (Kabul),Subnational
Albania,ALB,14.5,3,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Algeria,DZA,17.4,3,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Andorra,AND,,,,,,,,
Angola,AGO,20.2,4,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey (Huambo),Subnational
Antigua and Barbuda,ATG,24.3,4,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Argentina,ARG,22.7,4,,2012,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Armenia,ARM,5,1,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Australia,AUS,5.4,1,,2014,12--17,Current cigarette smoking,Australian Secondary School Students Alcohol and Drug Survey (ASSAD),National
Austria,AUT,14.2,3,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Azerbaijan,AZE,11.6,2,,2016,13--15,Current tobacco smoking,Global Youth Tobacco Survey,National
Bahamas,BHS,16.1,3,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Bahrain,BHR,25,4,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Bangladesh,BGD,13.2,2,,2014,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Barbados,BRB,17.4,3,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Belarus,BLR,9.5,2,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Belgium,BEL,10,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children (Flemish Region),Subnational
Belize,BLZ,16.6,3,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Benin,BEN,4.7,1,,2009,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Bhutan,BTN,39,5,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Bolivia,BOL,20.9,4,,2012,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Bosnia and Herzegovina,BIH,18.1,3,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Botswana,BWA,27,5,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Brazil,BRA,5.3,1,,2015,13--15,Current cigarette smoking,National School Health Survey (PENSE),National
Brunei Dar.,BRN,15.2,3,,2014,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Bulgaria,BGR,27.4,5,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Burkina Faso,BFA,22.6,4,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey (Ouagadougou),Subnational
Burundi,BDI,20.7,4,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Cambodia,KHM,2.9,1,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Cameroon,CMR,2.8,1,,2012,12--18,Current tobacco smoking,Consumption of Psychoactive Substances among Secondary School Students,National
Canada,CAN,0.9,1,,2015,Grades 6-9,Current cigarette smoking,"Canadian Student Tobacco, Alcohol and Drugs Survey (CSTADS)",National
Cape Verde,CPV,13.8,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Central African Rep.,CAF,29.5,5,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Bangui),Subnational
Chad,TCD,20.9,4,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Chile,CHL,19.8,3,,2013,13--15,Current tobacco use,Global School-Based Student Health Survey,National
China,CHN,11.2,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Colombia,COL,11.9,2,,2011,13--15,Current cigarette smoking,National Survey of Psychoactive Substance Use in the School Population,National
Comoros,COM,15.9,3,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Congo,COG,27.6,5,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Cook Islands,COK,29.7,5,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Costa Rica,CRI,9.7,2,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Côte d'Ivoire,CIV,26.3,5,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Croatia,HRV,16.7,3,,2016,13--15,Current tobacco smoking,Global Youth Tobacco Survey,National
Cuba,CUB,19.8,3,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Cyprus,CYP,28.7,5,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Czech Rep.,CZE,,,,,,,,
Dem. Rep. of Congo,COD,36.2,5,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Kinshasa),Subnational
Denmark,DNK,18,3,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Djibouti,DJI,17.8,3,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
