year,income_cat,tonnes,category description
1961,1,165501,Low-HDI
1961,2,668904,Medium-HDI
1961,3,585599,High-HDI (excl. China)
1961,4,1543161,Very high-HDI
1961,9,380000,China
1962,1,165247,Low-HDI
1962,2,735884,Medium-HDI
1962,3,661132,High-HDI (excl. China)
1962,4,1705746,Very high-HDI
1962,9,420000,China
1963,1,139077,Low-HDI
1963,2,763981,Medium-HDI
1963,3,731783,High-HDI (excl. China)
1963,4,1854665,Very high-HDI
1963,9,480000,China
1964,1,220734,Low-HDI
1964,2,751179,Medium-HDI
1964,3,846318,High-HDI (excl. China)
1964,4,1906158,Very high-HDI
1964,9,550000,China
1965,1,202466,Low-HDI
1965,2,752690,Medium-HDI
1965,3,773154,High-HDI (excl. China)
1965,4,1669981,Very high-HDI
1965,9,600000,China
1966,1,192385,Low-HDI
1966,2,699278,Medium-HDI
1966,3,869585,High-HDI (excl. China)
1966,4,1687370,Very high-HDI
1966,9,789200,China
1967,1,160844,Low-HDI
1967,2,812895,Medium-HDI
1967,3,868099,High-HDI (excl. China)
1967,4,1812229,Very high-HDI
1967,9,848200,China
1968,1,140153,Low-HDI
1968,2,869808,Medium-HDI
1968,3,859096,High-HDI (excl. China)
1968,4,1654286,Very high-HDI
1968,9,848200,China
1969,1,190731,Low-HDI
1969,2,869709,Medium-HDI
1969,3,831616,High-HDI (excl. China)
1969,4,1642560,Very high-HDI
1969,9,775600,China
1970,1,141179,Low-HDI
1970,2,820698,Medium-HDI
1970,3,854599,High-HDI (excl. China)
1970,4,1671167,Very high-HDI
1970,9,785000,China
1971,1,169816,Low-HDI
1971,2,831001,Medium-HDI
1971,3,838815,High-HDI (excl. China)
1971,4,1563584,Very high-HDI
1971,9,785000,China
1972,1,176317,Low-HDI
1972,2,923023,Medium-HDI
1972,3,911395,High-HDI (excl. China)
1972,4,1646293,Very high-HDI
1972,9,840000,China
1973,1,181582,Low-HDI
1973,2,818121,Medium-HDI
1973,3,845034,High-HDI (excl. China)
1973,4,1699708,Very high-HDI
1973,9,950000,China
1974,1,180673,Low-HDI
1974,2,912029,Medium-HDI
1974,3,982167,High-HDI (excl. China)
1974,4,1787316,Very high-HDI
1974,9,984000,China
1975,1,206848,Low-HDI
1975,2,817818,Medium-HDI
1975,3,998473,High-HDI (excl. China)
1975,4,1985933,Very high-HDI
1975,9,960000,China
1976,1,235872,Low-HDI
1976,2,828397,Medium-HDI
1976,3,1179837,High-HDI (excl. China)
1976,4,2040490,Very high-HDI
1976,9,970000,China
1977,1,213757,Low-HDI
1977,2,952464,Medium-HDI
1977,3,1072347,High-HDI (excl. China)
1977,4,1894584,Very high-HDI
1977,9,987000,China
1978,1,213058,Low-HDI
1978,2,982221,Medium-HDI
1978,3,1215725,High-HDI (excl. China)
1978,4,1905236,Very high-HDI
1978,9,1242000,China
1979,1,245486,Low-HDI
1979,2,973597,Medium-HDI
1979,3,1185578,High-HDI (excl. China)
1979,4,1647603,Very high-HDI
1979,9,941400,China
1980,1,258330,Low-HDI
1980,2,894162,Medium-HDI
1980,3,1137065,High-HDI (excl. China)
1980,4,1702599,Very high-HDI
1980,9,900000,China
1981,1,197592,Low-HDI
1981,2,971173,Medium-HDI
1981,3,1063867,High-HDI (excl. China)
1981,4,1863868,Very high-HDI
1981,9,1497000,China
1982,1,215597,Low-HDI
1982,2,1039864,Medium-HDI
1982,3,1178041,High-HDI (excl. China)
1982,4,1858566,Very high-HDI
1982,9,2179000,China
1983,1,233578,Low-HDI
1983,2,1117616,Medium-HDI
1983,3,1103958,High-HDI (excl. China)
1983,4,1607821,Very high-HDI
1983,9,1101197,China
1984,1,269027,Low-HDI
1984,2,1067697,Medium-HDI
1984,3,1087044,High-HDI (excl. China)
1984,4,1790182,Very high-HDI
1984,9,1789000,China
1985,1,253773,Low-HDI
1985,2,1105864,Medium-HDI
1985,3,1066817,High-HDI (excl. China)
1985,4,1631489,Very high-HDI
1985,9,2424849,China
1986,1,260442,Low-HDI
1986,2,962649,Medium-HDI
1986,3,1036400,High-HDI (excl. China)
1986,4,1463614,Very high-HDI
1986,9,1707142,China
1987,1,268717,Low-HDI
1987,2,984526,Medium-HDI
1987,3,1049025,High-HDI (excl. China)
1987,4,1447367,Very high-HDI
1987,9,1943000,China
1988,1,266003,Low-HDI
1988,2,862146,Medium-HDI
1988,3,1083012,High-HDI (excl. China)
1988,4,1496781,Very high-HDI
1988,9,2734000,China
1989,1,288784,Low-HDI
1989,2,959257,Medium-HDI
1989,3,1104210,High-HDI (excl. China)
1989,4,1484691,Very high-HDI
1989,9,2830353,China
1990,1,312807,Low-HDI
1990,2,1087252,Medium-HDI
1990,3,1104299,High-HDI (excl. China)
1990,4,1572856,Very high-HDI
1990,9,2627082,China
1991,1,386599,Low-HDI
1991,2,1103851,Medium-HDI
1991,3,1014573,High-HDI (excl. China)
1991,4,1635321,Very high-HDI
1991,9,3031000,China
1992,1,446543,Low-HDI
1992,2,1260405,Medium-HDI
1992,3,1369224,High-HDI (excl. China)
1992,4,1636598,Very high-HDI
1992,9,3498561,China
1993,1,438576,Low-HDI
1993,2,1287106,Medium-HDI
1993,3,1470444,High-HDI (excl. China)
1993,4,1592885,Very high-HDI
1993,9,3451000,China
1994,1,387092,Low-HDI
1994,2,1184319,Medium-HDI
1994,3,1054957,High-HDI (excl. China)
1994,4,1506475,Very high-HDI
1994,9,2238000,China
1995,1,438836,Low-HDI
1995,2,1124427,Medium-HDI
