Year,Policies,Number of countries,,,,,,,,,,,,,,,,
2007,Taxation ,3,,,,,,,,,,,,,,,,
2007,Smoke-free policies,7,,,,,,,,,,,,,,,,
2007,Warning labels,7,,,,,,,,,,,,,,,,
2007,"Bans on advertising, promotion, and sponsorship",4,,,,,,,,,,,,,,,,
2007,Cessation programs,10,,,,,,,,,,,,,,,,
2014,Taxation ,28,,,,,,,,,,,,,,,,
2014,Smoke-free policies,34,,,,,,,,,,,,,,,,
2014,Warning labels,31,,,,,,,,,,,,,,,,
2014,"Bans on advertising, promotion, and sponsorship",16,,,,,,,,,,,,,,,,
2014,Cessation programs,18,,,,,,,,,,,,,,,,
