Country,ISO3,TA6 Data,Key Code,TA6 Changes (1990 - 2016),Symbol,,,,,,,,
Afghanistan,AFG,52.2761863826,3,48.5781436982,0,,,,,,,,
Albania,ALB,93.117280885,1,29.3657549396,0,,,,,,,,
Algeria,DZA,80.3142729429999,2,33.8431289449,0,,,,,,,,
Andorra,AND,90.2088954256,1,1.61082258463,0,,,,,,,,
Angola,AGO,34.0990204458,4,88.3208631298,1,,,,,,,,
Antigua and Barbuda,ATG,83.9204772881,2,-0.0786197016934,0,,,,,,,,
Argentina,ARG,81.8878117968,2,-1.15017359206,0,,,,,,,,
Armenia,ARM,93.0470150023,1,19.4176184182,0,,,,,,,,
Australia,AUS,90.9550233659999,1,0.653404039585,0,,,,,,,,
Austria,AUT,93.5192340079,1,2.94724255584,0,,,,,,,,
Azerbaijan,AZE,85.9831598778999,2,29.7074572147,0,,,,,,,,
Bahamas,BHS,80.3851491349,2,12.3731082644,0,,,,,,,,
Bahrain,BHR,83.1820273159,2,7.65742871846999,0,,,,,,,,
Bangladesh,BGD,70.5949831288,2,101.328534041,1,,,,,,,,
Barbados,BRB,85.5265406067,2,-0.705812906329999,0,,,,,,,,
Belarus,BLR,90.6231838420999,1,3.13908606494,0,,,,,,,,
Belgium,BEL,87.6782034456,2,-1.92993993513,0,,,,,,,,
Belize,BLZ,68.5996507249,3,16.8532400615,0,,,,,,,,
Benin,BEN,36.9383753096,4,41.3627336133,0,,,,,,,,
Bhutan,BTN,69.7999944686,3,96.9860730608,1,,,,,,,,
Bolivia,BOL,68.2519978537,3,61.956399952,1,,,,,,,,
Bosnia and Herzegovina,BIH,95.1380241140999,1,8.62298295664999,0,,,,,,,,
Botswana,BWA,44.165882677,4,8.67122695244,0,,,,,,,,
Brazil,BRA,76.3654672824,2,25.0721273042,0,,,,,,,,
Brunei Dar.,BRN,83.5907058965,2,9.95630546172,0,,,,,,,,
Bulgaria,BGR,94.8696056534,1,5.24240029918,0,,,,,,,,
Burkina Faso,BFA,29.887927478,5,50.4834261326,1,,,,,,,,
Burundi,BDI,29.1703069899,5,11.9636275322,0,,,,,,,,
Cambodia,KHM,62.6998453716,3,80.1871389738999,1,,,,,,,,
Cameroon,CMR,34.351220917,4,16.1107420445,0,,,,,,,,
Canada,CAN,89.29945852,2,1.37485425321,0,,,,,,,,
Cape Verde,CPV,66.5861587104,3,30.3439751634,0,,,,,,,,
Central African Rep.,CAF,27.5199110174,5,1.77415879071,0,,,,,,,,
Chad,TCD,25.3261079844,5,23.2459619746,0,,,,,,,,
Chile,CHL,84.8164889936,2,12.7504856429,0,,,,,,,,
China,CHN,88.5432695975,2,20.2986224614,0,,,,,,,,
Colombia,COL,76.8212078705999,2,33.7953986374,0,,,,,,,,
Comoros,COM,44.0901140308,4,31.6334495066,0,,,,,,,,
Congo,COG,39.9279994994,4,13.4403089298,0,,,,,,,,
Cook Islands,COK,,,,0,,,,,,,,
Costa Rica,CRI,84.3445500191,2,12.4862653726,0,,,,,,,,
Côte d'Ivoire,CIV,37.0629119205,4,32.2668745558,0,,,,,,,,
Croatia,HRV,93.3826636986,1,5.25224931981,0,,,,,,,,
Cuba,CUB,85.6630696274999,2,5.93481761515,0,,,,,,,,
Cyprus,CYP,91.4409329807,1,3.0367644266,0,,,,,,,,
Czech Rep.,CZE,91.7743967949,1,1.60717135164,0,,,,,,,,
Dem. Rep. of Congo,COD,29.9116613648,5,36.7040625233,0,,,,,,,,
Denmark,DNK,90.1185853411,1,0.745627484359,0,,,,,,,,
Djibouti,DJI,40.6927662043,4,53.6244965643,1,,,,,,,,
Dominica,DMA,84.0057464928,2,1.15626347127,0,,,,,,,,
Dominican Rep.,DOM,71.7284924459,2,26.7551685104,0,,,,,,,,
DPR Korea,PRK,83.4728349697,2,14.3976418812,0,,,,,,,,
Ecuador,ECU,70.2720650236,2,34.342149919,0,,,,,,,,
Egypt,EGY,82.2653934875,2,37.2943317266999,0,,,,,,,,
El Salvador,SLV,73.3850534395,2,42.1291853267,0,,,,,,,,
Equatorial Guinea,GNQ,33.1641302652,4,22.7706137996,0,,,,,,,,
Eritrea,ERI,37.9617183946,4,66.3891111777,1,,,,,,,,
Estonia,EST,92.9684700331,1,6.9166743478,0,,,,,,,,
Ethiopia,ETH,43.5077201374,4,84.7476570739,1,,,,,,,,
Fed. States of Micronesia,FSM,79.4909784785,2,26.3688953005,0,,,,,,,,
Fiji,FJI,85.0941610333,2,16.1233008054,0,,,,,,,,
Finland,FIN,91.8658086854,1,6.88017905997,0,,,,,,,,
France,FRA,87.309007764,2,3.21615172049,0,,,,,,,,
FYR Macedonia,MKD,95.1371392762,1,8.74472681171,0,,,,,,,,
Gabon,GAB,50.271977494,3,8.69972422271,0,,,,,,,,
Gambia,GMB,37.6255012557,4,44.9939401147,0,,,,,,,,
Georgia,GEO,92.1597325461,1,8.37700097894,0,,,,,,,,
Germany,DEU,92.6269047995,1,0.419668291007,0,,,,,,,,
Ghana,GHA,44.0558319764,4,63.2804429934,1,,,,,,,,
Greece,GRC,94.374909672,1,2.43756768246,0,,,,,,,,
Grenada,GRD,81.398931401,2,1.93999342337,0,,,,,,,,
Guatemala,GTM,60.0611845784,3,79.7475592887,1,,,,,,,,
Guinea,GIN,35.3743427914,4,48.2128392754,0,,,,,,,,
Guinea-Bissau,GNB,40.4073933198,4,37.0130869748,0,,,,,,,,
Guyana,GUY,72.2246013945,2,17.8161174223,0,,,,,,,,
Haiti,HTI,61.5610467601,3,32.0123332704,0,,,,,,,,
Honduras,HND,75.3262237742,2,37.1648822452,0,,,,,,,,
Hong Kong,HKG,,,,0,,,,,,,,
Hungary,HUN,93.6588554384,1,5.08296177834,0,,,,,,,,
Iceland,ISL,89.7532691426999,2,3.36230873204,0,,,,,,,,
India,IND,61.801903523,3,62.9464719948,1,,,,,,,,
Indonesia,IDN,73.3203225141,2,63.0198784516,1,,,,,,,,
Iraq,IRQ,79.7120436344,2,66.9672661311999,1,,,,,,,,
Ireland,IRL,61.4771141471,3,-2.9907545667,0,,,,,,,,
Isl. Rep. of Iran,IRN,90.696095838,1,1.89168892603,0,,,,,,,,
Israel,ISR,89.2059024442999,2,0.464213441795,0,,,,,,,,
Italy,ITA,94.056452128,1,2.22786704041,0,,,,,,,,
Jamaica,JAM,85.1354972782,2,8.35432407861,0,,,,,,,,
Japan,JPN,86.5901004557,2,2.75046949691,0,,,,,,,,
Jordan,JOR,74.8548128507,2,8.6384706643,0,,,,,,,,
Kazakhstan,KAZ,84.0546907476,2,9.27306088534,0,,,,,,,,
Kenya,KEN,27.9721290104,5,56.1988088159,1,,,,,,,,
Kiribati,KIR,70.7960534620999,2,35.929344934,0,,,,,,,,
Kuwait,KWT,77.7619556012,2,28.9256177856,0,,,,,,,,
Kyrgyzstan,KGZ,78.3605290155999,2,17.9954401303,0,,,,,,,,
LAO PDR,LAO,58.0254467883,3,74.3195657573,1,,,,,,,,
Latvia,LVA,91.7925578041,1,6.31130448272,0,,,,,,,,
Lebanon,LBN,89.9766779638,2,21.2946068336,0,,,,,,,,
Lesotho,LSO,32.4991870831,4,-19.1147440914,0,,,,,,,,
Liberia,LBR,37.4466310995,4,98.8988070828999,1,,,,,,,,
Libyan Arab Jamahiriya,LBY,77.9332950128999,2,14.234607012,0,,,,,,,,
Lichtenstein,LIE,,,,0,,,,,,,,
Lithuania,LTU,90.1605004280999,1,4.67851463512,0,,,,,,,,
Lux.,LUX,89.8971837267,2,0.0316680312861,0,,,,,,,,
Madagascar,MDG,41.6122496945,4,36.6574256378,0,,,,,,,,
Malawi,MWI,30.343397128,4,86.3956966578,1,,,,,,,,
Malaysia,MYS,76.7249911936,2,9.68058323056,0,,,,,,,,
Maldives,MDV,85.7783551386,2,47.3098897901,0,,,,,,,,
Mali,MLI,27.2377715176,5,22.0163777436,0,,,,,,,,
Malta,MLT,92.1564943624,1,0.738511654604,0,,,,,,,,
Marshall Islands,MHL,79.2921491521,2,27.619820641,0,,,,,,,,
Mauritania,MRT,48.2709000338,4,47.1531420368,0,,,,,,,,
Mauritius,MUS,89.6616220771999,2,10.5805092947,0,,,,,,,,
Mexico,MEX,80.3252824772,2,41.9851231367,0,,,,,,,,
Monaco,MCO,89.8744790998,2,7.25272237954,0,,,,,,,,
Mongolia,MNG,79.3567674793,2,39.0806876889,0,,,,,,,,
Montenegro,MNE,93.751848325,1,4.72156118151,0,,,,,,,,
Morocco,MAR,77.2354086152,2,66.3556316083,1,,,,,,,,
Mozambique,MOZ,27.7126814811,5,26.6785762898,0,,,,,,,,
Myanmar,MMR,72.4229892739,2,56.2019517829,1,,,,,,,,
Namibia,NAM,37.356579903,4,-5.57891834949,0,,,,,,,,
Nauru,NRU,,,,0,,,,,,,,
Nepal,NPL,64.4386989282,3,115.949214753,1,,,,,,,,
Netherlands,NLD,89.4872081466,2,-1.83677257274,0,,,,,,,,
New Zealand,NZL,91.5034510398,1,3.8586933867,0,,,,,,,,
Nicaragua,NIC,78.9556209002,2,84.2622916417,1,,,,,,,,
Niger,NER,26.3110559232,5,81.5561978833,1,,,,,,,,
Nigeria,NGA,22.8301645322,5,21.0185014416,0,,,,,,,,
Niue,NIU,,,,0,,,,,,,,
Norway,NOR,89.0578446171,2,1.85189280631,0,,,,,,,,
Oman,OMN,69.92147142,3,31.1260040789,0,,,,,,,,
Pakistan,PAK,63.7968439446,3,72.2551148273,1,,,,,,,,
Palau,PLW,,,,0,,,,,,,,
Panama,PAN,76.7593898321,2,11.3947415838,0,,,,,,,,
Papua New Guinea,PNG,64.9714329372,3,29.8868075392,0,,,,,,,,
Paraguay,PRY,77.5122809008,2,25.2044436477,0,,,,,,,,
Peru,PER,68.6218000039,3,56.7724834779,1,,,,,,,,
Philippines,PHL,69.2506704148,3,51.5192395343999,1,,,,,,,,
Poland,POL,91.1536117585999,1,2.73764294577,0,,,,,,,,
Portugal,PRT,88.9520452090999,2,1.88527782425,0,,,,,,,,
Qatar,QAT,62.6505854799,3,-4.87876331732,0,,,,,,,,
Rep. Korea,KOR,84.4986413024,2,6.94466243219,0,,,,,,,,
Rep. Moldova,MDA,,,,0,,,,,,,,
Romania,ROU,93.0779428406,1,6.4165020512,0,,,,,,,,
Russian Federation,RUS,87.2559370935,2,2.79616136656,0,,,,,,,,
Rwanda,RWA,38.3706732252,4,95.4717264197999,1,,,,,,,,
S. Africa,ZAF,41.5802227621,4,-1.08831434502,0,,,,,,,,
S. Sudan,SSD,23.6823892274,5,61.8101111021,1,,,,,,,,
Samoa,WSM,81.3909839862,2,16.6609805271,0,,,,,,,,
San Marino,SMR,,,,0,,,,,,,,
Sao Tome and Principe,STP,60.8698089565,3,38.852401011,0,,,,,,,,
Saudi Arabia,SAU,73.8928748105999,2,39.7351467784,0,,,,,,,,
