COUNTRY,ISO3CODE,REGION,INCOME GROUP,2015 HDI,CESSATION INDEX,,
Afghanistan,AFG,EMRO,LOW,0.479,3,,
Albania,ALB,EURO,MIDDLE,0.764,4,,
Algeria,DZA,AFRO,MIDDLE,0.745,3,,
Andorra,AND,EURO,HIGH,0.858,4,,
Angola,AGO,AFRO,MIDDLE,0.533,3,,
Antigua and Barbuda,ATG,PAHO,HIGH,0.786,3,,
Argentina,ARG,PAHO,MIDDLE,0.827,4,,
Armenia,ARM,EURO,MIDDLE,0.743,4,,
Australia,AUS,WPRO,HIGH,0.939,5,,
Austria,AUT,EURO,HIGH,0.893,4,,
Azerbaijan,AZE,EURO,MIDDLE,0.759,3,,
Bahamas,BHS,PAHO,HIGH,0.792,4,,
Bahrain,BHR,EMRO,HIGH,0.824,4,,
Bangladesh,BGD,SEARO,MIDDLE,0.579,3,,
Barbados,BRB,PAHO,HIGH,0.795,4,,
Belarus,BLR,EURO,MIDDLE,0.796,4,,
Belgium,BEL,EURO,HIGH,0.896,4,,
Belize,BLZ,PAHO,MIDDLE,0.706,4,,
Benin,BEN,AFRO,LOW,0.485,4,,
Bhutan,BTN,SEARO,MIDDLE,0.607,4,,
Bolivia ,BOL,PAHO,MIDDLE,0.674,4,,
Bosnia and Herzegovina,BIH,EURO,MIDDLE,0.75,4,,
Botswana,BWA,AFRO,MIDDLE,0.698,3,,
Brazil,BRA,PAHO,MIDDLE,0.754,5,,
Brunei Dar.,BRN,WPRO,HIGH,0.865,5,,
Bulgaria,BGR,EURO,MIDDLE,0.794,4,,
Burkina Faso,BFA,AFRO,LOW,0.402,3,,
Burundi,BDI,AFRO,LOW,0.404,2,,
Cape Verde,CPV,AFRO,MIDDLE,0.648,4,,
Cambodia,KHM,WPRO,MIDDLE,0.563,3,,
Cameroon,CMR,AFRO,MIDDLE,0.518,4,,
Canada,CAN,PAHO,HIGH,0.92,5,,
Central African Rep.,CAF,AFRO,LOW,0.352,3,,
Chad,TCD,AFRO,LOW,0.396,3,,
Chile,CHL,PAHO,HIGH,0.847,3,,
China,CHN,WPRO,MIDDLE,0.738,4,,
Colombia,COL,PAHO,MIDDLE,0.727,4,,
Comoros,COM,AFRO,LOW,0.498,2,,
Congo,COG,AFRO,MIDDLE,0.592,4,,
Cook Islands,COK,WPRO,,,4,,
Costa Rica,CRI,PAHO,MIDDLE,0.776,4,,
