COUNTRY,ISO3CODE,REGION,INCOME GROUP,2015 HDI,CESSATION INDEX,Officially identified person in government or contracted by government  who is responsible for tobacco dependence treatment,Clearly identified budget for tobacco dependence treatment,Official national tobacco treatment guidelines,Mass media campaigns promoting cessation,Offers help to healthcare workers and other relevant groups to stop using tobacco ,Mandatory record of patients’ tobacco use in medical notes,"Free, national telephone tobacco quitline",Specialised tobacco dependence treatment services (experts or units/clinics) offering individual or group support delivered by trained professionals,Nilan et al Data Total,Key Code
Afghanistan,AFG,EMRO,LOW,0.479,3,,,,,,,,,,
Albania,ALB,EURO,MIDDLE,0.764,4,0,0,0,0,1,0,0,0.5,1.5,1
Algeria,DZA,AFRO,MIDDLE,0.745,3,1,0,0,1,0,0,0,0.5,2.5,2
Andorra,AND,EURO,HIGH,0.858,4,,,,,,,,,,
Angola,AGO,AFRO,MIDDLE,0.533,3,,,,,,,,,,
Antigua and Barbuda,ATG,PAHO,HIGH,0.786,3,0,0,0,1,0,0,0,0,1,1
Argentina,ARG,PAHO,MIDDLE,0.827,4,,,,,,,,,,
Armenia,ARM,EURO,MIDDLE,0.743,4,0,0,1,0,0,0,0,0,1,1
Australia,AUS,WPRO,HIGH,0.939,5,0,0,0,1,0,0,0.5,0.5,2,1
Austria,AUT,EURO,HIGH,0.893,4,0,0,0,0,0,0,0.5,0.5,1,1
Azerbaijan,AZE,EURO,MIDDLE,0.759,3,,,,,,,,,,
Bahamas,BHS,PAHO,HIGH,0.792,4,0,0,0,1,1,0,0,0.5,2.5,2
Bahrain,BHR,EMRO,HIGH,0.824,4,1,0,1,1,1,1,0.5,1,6.5,4
Bangladesh,BGD,SEARO,MIDDLE,0.579,3,0,0,1,0,1,0,0,0.5,2.5,2
Barbados,BRB,PAHO,HIGH,0.795,4,0,0,0,0,0,0,0,0,0,1
Belarus,BLR,EURO,MIDDLE,0.796,4,,,,,,,,,,
Belgium,BEL,EURO,HIGH,0.896,4,0,1,1,1,0,1,0.5,1,5.5,3
Belize,BLZ,PAHO,MIDDLE,0.706,4,1,0,0,0,0,0,0,0,1,1
Benin,BEN,AFRO,LOW,0.485,4,0,0,0,0,0,1,0,0,1,1
Bhutan,BTN,SEARO,MIDDLE,0.607,4,,,,,,,,,,
Bolivia ,BOL,PAHO,MIDDLE,0.674,4,,,,,,,,,,
Bosnia and Herzegovina,BIH,EURO,MIDDLE,0.75,4,1,0,1,0,0,1,0,0,3,2
Botswana,BWA,AFRO,MIDDLE,0.698,3,0,0,0,1,0,0,0,0,1,1
Brazil,BRA,PAHO,MIDDLE,0.754,5,1,0,1,1,1,0,1,0.5,5.5,3
Brunei Dar.,BRN,WPRO,HIGH,0.865,5,1,1,1,0,0,1,1,1,6,3
Bulgaria,BGR,EURO,MIDDLE,0.794,4,,,,,,,,,,
Burkina Faso,BFA,AFRO,LOW,0.402,3,0,0,0,0,1,0,0,0,1,1
Burundi,BDI,AFRO,LOW,0.404,2,0,0,0,1,0,0,0,0,1,1
Cape Verde,CPV,AFRO,MIDDLE,0.648,4,,,,,,,,,,
Cambodia,KHM,WPRO,MIDDLE,0.563,3,1,0,0,1,1,0,0,0.5,3.5,2
Cameroon,CMR,AFRO,MIDDLE,0.518,4,1,0,0,0,0,0,0,0,1,1
Canada,CAN,PAHO,HIGH,0.92,5,1,1,1,1,1,0,0.5,0.5,6,3
Central African Rep.,CAF,AFRO,LOW,0.352,3,,,,,,,,,,
Chad,TCD,AFRO,LOW,0.396,3,0,0,0,0,0,0,0,0,0,1
Chile,CHL,PAHO,HIGH,0.847,3,1,0,1,1,0,0,0,0.5,3.5,2
China,CHN,WPRO,MIDDLE,0.738,4,1,0,1,1,1,1,0.5,0.5,6,3
