COUNTRY,ISO3 CODE,REGION,INCOME GROUP,2015 HDI,2016 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2016 price key,2014 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2014 price key,2012 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2012 price key,2010 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2010 price key,2008 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2008 price key,2016 total excise tax as a % of price of the most sold brand,2016 tax key,2014 total excise tax as a % of price of the most sold brand,2014 tax key,2012 total excise tax as a % of price of the most sold brand,2012 tax key,2010 total excise tax as a % of price of the most sold brand,2010 tax key,2008 total excise tax as a % of price of the most sold brand,2008 tax key,2016 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2016 afford key,2014 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2014 afford key,2012 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2012 afford key,2010 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2010 afford key,2008 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2008 afford key
Afghanistan,AFG,EMRO,LOW,0.479,1.5,1,1.04,1,0.81,1,0.62,1,0.55,1,0,1,0,1,0,1,0,1,0,1,0.0782,5,0.0536,3,0.0433,3,0.0399,3,0.0444,3
Angola,AGO,AFRO,MIDDLE,0.533,,,2.85,2,2.09,2,,,0.99,1,,,0,1,0,1,,,0,1,,,0.0414,3,0.0331,2,,,0.0171,2
Albania,ALB,EURO,MIDDLE,0.764,5.23,3,4.51,3,3.77,2,3.31,2,3.01,2,0.4783,5,0.45,4,0.4118,4,0.3333,4,0.3077,3,0.0441,3,0.0415,3,0.037,3,0.0352,3,0.0355,3
Andorra,AND,EURO,HIGH,0.858,,,,,,,,,,,0.6964,6,0.6388,6,0.5348,5,0.025099999999999997,2,,,,,,,0.01,1,0.008,1,,
UAE,ARE,EMRO,HIGH,0.84,5.33,3,4.15,3,3.2,2,3.13,2,2.68,2,0,1,0,1,0,1,0,1,0,1,0.0079,1,0.0063,1,0.0051,1,0.0055,1,0.0045,1
Argentina,ARG,PAHO,MIDDLE,0.827,4.35,3,2.69,2,2.5,2,2.44,2,2.36,2,0.761,6,0.6433,6,0.6459,6,0.6393,6,0.626,6,0.0216,2,0.0135,1,0.0127,1,0.0132,1,0.0131,1
Armenia,ARM,EURO,MIDDLE,0.743,3.06,2,3.03,2,3.1,2,3,2,2.96,2,0.1833,3,0.1667,3,0.2,3,0.1808,3,0.1683,3,0.0354,3,0.0371,3,0.0418,3,0.0472,3,0.0418,3
Antigua and Barbuda,ATG,PAHO,HIGH,0.786,4.94,3,4.94,3,3.71,2,3.73,2,3.77,2,0,1,0,1,0,1,0,1,0,1,0.0191,2,0.0206,2,0.0171,2,0.0178,2,0.0147,1
Australia,AUS,WPRO,HIGH,0.939,14.86,6,11.73,6,9.2,5,8.11,5,6.73,4,0.5117,5,0.4767,5,0.5119,5,0.5472,5,0.5302,5,0.0301,2,0.0251,2,0.0207,2,0.0195,2,0.0167,2
Austria,AUT,EURO,HIGH,0.893,6,4,5.91,3,5.42,3,4.81,3,4.37,3,0.5900000000000001,5,0.5732999999999999,5,0.5756,5,0.5635,5,0.5783,5,0.0124,1,0.0127,1,0.012,1,0.0114,1,0.0103,1
Azerbaijan,AZE,EURO,MIDDLE,0.759,8.51,5,3.94,2,3.01,2,2.29,2,2.19,2,0.0286,2,0.0202,2,0.0259,2,0.0413,2,0.0412,2,0.0443,3,0.0222,2,0.0187,2,0.0149,1,0.0164,2
Burundi,BDI,AFRO,LOW,0.404,2.57,2,2.84,2,1.67,1,1.99,1,1.76,1,0.275,3,0.275,3,0.3844,4,0.3626,4,0.4608,5,0.2973,5,0.3244,5,0.2086,5,0.2677,5,0.2505,5
Belgium,BEL,EURO,HIGH,0.896,7.63,4,6.98,4,6.26,4,5.77,3,4.99,3,0.5834999999999999,5,0.5856,5,0.5871999999999999,5,0.5899,5,0.6007,5,0.0169,2,0.0162,2,0.0151,2,0.0144,1,0.0125,1
Benin,BEN,AFRO,LOW,0.485,2.31,2,2.28,2,2.22,2,2.37,2,2.41,2,0.0395,2,0.0538,2,0.0538,2,0.0736,2,0.0446,2,0.1094,5,0.1103,5,0.1207,5,0.1377,5,0.1405,5
