COUNTRY,ISO3,REGION,Organization,Prevent20 Status (Members = #fc0d1b; Friends = #fd9426),"Prevent20 Status (0 - none, 1 - Friend, 2 - Member)"
Afghanistan,AFG,EMRO,,,0
Albania,ALB,EURO,,,0
Algeria,DZA,AFRO,,,0
Andorra,AND,EURO,,,0
Angola,AGO,AFRO,,,0
Antigua and Barbuda,ATG,PAHO,"Breast Friends, Women in Touch",Member,2
Argentina,ARG,PAHO,Liga Argentina de Lucha Contra el Cáncer,Member,2
Armenia,ARM,EURO,,,0
Australia,AUS,WPRO,,,0
Austria,AUT,EURO,,,0
Azerbaijan,AZE,EURO,,,0
Bahamas,BHS,PAHO,,,0
Bahrain,BHR,EMRO,,,0
Bangladesh,BGD,SEARO,Bangladesh Cancer Society,Member,2
Barbados,BRB,PAHO,Healthy Caribbean Coalition ,Friend,1
Belarus,BLR,EURO,,,0
Belgium,BEL,EURO,SmokeFree Partnership,Friend,1
Belgium,BEL,EURO,Belgian Foundation against Cancer,Member,2
Belgium,BEL,EURO,Kom op tegen Kanker,Member,2
Belize,BLZ,PAHO,Belize Cancer Society,Member,2
Benin,BEN,AFRO,IECT Benin,Friend,1
Bhutan,BTN,SEARO,,,0
Bolivia ,BOL,PAHO,,,0
Bosnia and Herzegovina,BIH,EURO,,,0
Botswana,BWA,AFRO,,,0
Brazil,BRA,PAHO,Fundaçao do Câncer,Member,2
Brazil,BRA,PAHO,Instituto Oncoguia,Member,2
Brunei Dar.,BRN,WPRO,,,0
Bulgaria,BGR,EURO,,,0
Burkina Faso,BFA,AFRO,,,0
Burundi,BDI,AFRO,,,0
Cambodia,KHM,WPRO,,,0
Cameroon,CMR,AFRO,SOCHIMIO,Member,2
Cameroon,CMR,AFRO,Coalition Camerounaise contre le Tabac (C3T),Friend,1
Canada,CAN,PAHO,Canadian Cancer Society ,Member,2
Cape Verde,CPV,AFRO,,,0
Central African Rep.,CAF,AFRO,,,0
Chad,TCD,AFRO,,,0
Chile,CHL,PAHO,,,0
China,CHN,WPRO,,,0
Colombia,COL,PAHO,Liga Colombiana Contra El Cancer,Member,2
Comoros,COM,AFRO,,,0
Congo,COG,AFRO,,,0
Cook Islands,COK,WPRO,,,0
Costa Rica,CRI,PAHO,Asociacion Proyecto Daniel Pro Ayuda a Jovenes con Cancer y Otras Enfermedades Cronicas,Member,2
Côte d'Ivoire,CIV,AFRO,Club Universitaire UNESCO pour la lutte contre la drogue (CLUCOD),Friend,1
Croatia,HRV,EURO,,,0
Cuba,CUB,PAHO,,,0
Cyprus,CYP,EURO,,,0
Czech Rep.,CZE,EURO,,,0
Dem. Rep. of Congo,COD,AFRO,,,0
Denmark,DNK,EURO,Danish Cancer Society,Member,2
