Country,Map Code
Afghanistan,Unclear/ No Explicit Policy
Angola,Unclear/ No Explicit Policy
Albania,Unclear/ No Explicit Policy
Andorra,Unclear/ No Explicit Policy
UAE,Comp Sales Ban
Argentina,Comp Sales Ban
Armenia,Unclear/ No Explicit Policy
Antigua and Barbuda,Unclear/ No Explicit Policy
Australia,Nicotine Ban
Austria,"Sales Permitted, Regulated"
Azerbaijan,"Sales Permitted, Regulated"
Burundi,Unclear/ No Explicit Policy
Belgium,Market Authorization Required
Benin,Unclear/ No Explicit Policy
Burkina Faso,Unclear/ No Explicit Policy
Bangladesh,Unclear/ No Explicit Policy
Bulgaria,Market Authorization Required
Bahrain,Comp Sales Ban
Bahamas,Unclear/ No Explicit Policy
Bosnia and Herzegovina,"Sales Permitted, Regulated"
Belarus,"Sales Permitted, Regulated"
Belize,Unclear/ No Explicit Policy
Bolivia ,Unclear/ No Explicit Policy
Brazil,Comp Sales Ban
Barbados,Unclear/ No Explicit Policy
Brunei Dar.,Comp Sales Ban
Bhutan,Unclear/ No Explicit Policy
Botswana,Unclear/ No Explicit Policy
Central African Rep.,Unclear/ No Explicit Policy
Canada,Nicotine Ban
Switz.,Nicotine Ban
Chile,Unclear/ No Explicit Policy
China,"Sales Permitted, Regulated"
Côte d'Ivoire,Unclear/ No Explicit Policy
Cameroon,Unclear/ No Explicit Policy
Dem. Rep. of Congo,Unclear/ No Explicit Policy
Congo,Unclear/ No Explicit Policy
Cook Islands,Unclear/ No Explicit Policy
Colombia,Comp Sales Ban
Comoros,Unclear/ No Explicit Policy
Cape Verde,Unclear/ No Explicit Policy
Costa Rica,Nicotine Ban
Cuba,Unclear/ No Explicit Policy
Cyprus,"Sales Permitted, Regulated"
Czech Rep.,Market Authorization Required
Germany,"Sales Permitted, Regulated"
Djibouti,Unclear/ No Explicit Policy
Dominica,Unclear/ No Explicit Policy
Denmark,Market Authorization Required
Dominican Rep.,Unclear/ No Explicit Policy
Algeria,"Sales Permitted, Regulated"
Ecuador,"Sales Permitted, Regulated"
Egypt,Unclear/ No Explicit Policy
Eritrea,Unclear/ No Explicit Policy
Spain,"Sales Permitted, Regulated"
Estonia,Market Authorization Required
Ethiopia,Unclear/ No Explicit Policy
Finland,Market Authorization Required
Fiji,Market Authorization Required
France,Market Authorization Required
Fed. States of Micronesia,Unclear/ No Explicit Policy
Gabon,Unclear/ No Explicit Policy
