country,iso3code,region,incomegroup,hdi,"Smoking Prevalence Change (2005 - 2015, Age 15+) ",Prevalence Change: Source,Number of Policies at Highest Level,Average score for POWER,Symbol - prevalence decline in the highest-performing countries
Afghanistan,AFG,EMRO,LOW,0.479000002145767,0.357789104684484,IHME Data,2,3.6,
Angola,AGO,AFRO,MIDDLE,0.532999992370606,0.689498116610447,IHME Data,0,2.2,
Albania,ALB,EURO,MIDDLE,0.763999998569489,-2.9,Gravely et al (2017),2,4.3,
Andorra,AND,EURO,HIGH,0.857999980449677,-4.1,Gravely et al (2017),0,3,
UAE,ARE,EMRO,HIGH,0.839999973773956,-1.79664213671096,IHME Data,2,3.4,
Argentina,ARG,PAHO,MIDDLE,0.827000021934509,-8.8,Gravely et al (2017),3,4.5,
Armenia,ARM,EURO,MIDDLE,0.742999970912933,-2.6,Gravely et al (2017),1,3,
Antigua and Barbuda,ATG,PAHO,HIGH,0.78600001335144,-0.201605494457206,IHME Data,0,2.3,
Australia,AUS,WPRO,HIGH,0.939000010490418,-6.2,Gravely et al (2017),4,4.6,yes
Austria,AUT,EURO,HIGH,0.89300000667572,-2.1599599960534,IHME Data,3,4,
Azerbaijan,AZE,EURO,MIDDLE,0.75900000333786,-3.3,Gravely et al (2017),0,2.9,
Burundi,BDI,AFRO,LOW,0.404000014066696,0.152747045820087,IHME Data,0,2.1,
Belgium,BEL,EURO,HIGH,0.896000027656555,-4.2,Gravely et al (2017),2,3.7,
Benin,BEN,AFRO,LOW,0.485000014305115,1.7,Gravely et al (2017),0,3.2,
Burkina Faso,BFA,AFRO,LOW,0.40200001001358,3.5,Gravely et al (2017),2,3.7,
Bangladesh,BGD,SEARO,MIDDLE,0.578999996185303,-8.3,Gravely et al (2017),3,4.2,
Bulgaria,BGR,EURO,MIDDLE,0.794000029563904,-9.2,Gravely et al (2017),3,4.3,
Bahrain,BHR,EMRO,HIGH,0.824000000953674,16.9,Gravely et al (2017),1,3.5,
Bahamas,BHS,PAHO,HIGH,0.791999995708466,1.6721092568921,IHME Data,0,2.6,
Bosnia and Herzegovina,BIH,EURO,MIDDLE,0.75,-5.4,Gravely et al (2017),1,3.3,
Belarus,BLR,EURO,MIDDLE,0.796000003814697,-6.1,Gravely et al (2017),1,3.2,
Belize,BLZ,PAHO,MIDDLE,0.705999970436096,-0.238712598961097,IHME Data,0,2.5,
