Company,City,Country,Products,Production,Unit,Source,Note
JTI,St. Petersburg,RUS,Cigarettes,100000000000,sticks,Euromonitor,This is a guess!
Hongyun Honghe,"Kunming, Yunnan",CHN,Cigarettes,105652000000,sticks,China Tobacco Yearbook 2015,"Yunyan, Hongshancha"
Yuxi Hongta,"Yuxi, Yunnan",CHN,Cigarettes,105652000000,sticks,China Tobacco Yearbook 2015,"Yuxi, Hongtashan, Hongmei, Citadels sez this was largest in the world at some point"
China Tobacco Hunan,"Changsha, Hunan",CHN,Cigarettes,109000000000,sticks,Euromonitor,BaiSha
Altria,"Richmond, VA",USA,Cigarettes,124000000000,sticks,Euromonitor,PM USA
Shanghai Tobacco,Shanghai,CHN,Cigarettes,86759000000,sticks,China Tobacco Yearbook 2015,
BAT,"Winston-Salem, NC",USA,Cigarettes,90000000000,sticks,Euromonitor,Formerly RJR
PMI,Krasnodar,RUS,Cigarettes,70000000000,sticks,Euromonitor,capacity
Imperial,"Greensboro, NC",USA,Cigarettes,73000000000,sticks,Euromonitor,Formerly Lorillard
Hongyun Honghe,"Honghe, Yunnan",CHN,Cigarettes,74400000000,sticks,Euromonitor,Honghe
Swisher,"Jacksonville, FL",USA,Cigars,5000000000,Cigars,swisher.com,Claims title of world's largest cigar factory
Multiple,Shenzen,CHN,E-Cigarettes,,,China Tobacco Yearbook 2015,90% of global production
PMI,Bologna,ITA,Heat-Not-Burn,,,Euromonitor,World's largest facility part of global 100 billion stick capacity
Mangalore Ganesh Beedi Works,Tamil Nadu,IND,Bidi,20000000000,sticks,"CTFK, 2010",Have 30% of the manufactured sector share
