Country,ISO3,Percent of TB Cases Due to Smoking,Key Code
Afghanistan,AFG,0.04992969933567807,1
Albania,ALB,0.11326590541856137,3
Algeria,DZA,0.05376322033687868,2
Andorra,AND,0.06924349940645484,2
Angola,AGO,0.05106682824529608,2
Antigua and Barbuda,ATG,0.01392876748989863,1
Argentina,ARG,0.08731954605738483,2
Armenia,ARM,0.20049413499673358,4
Australia,AUS,0.042682393015337945,1
Austria,AUT,0.0851320023028623,2
Azerbaijan,AZE,0.14337150683445643,3
Bahamas,BHS,0.039451417098124435,1
Bahrain,BHR,0.05840474962100464,2
Bangladesh,BGD,0.1677719594697245,4
Barbados,BRB,0.021610725682142732,1
Belarus,BLR,0.18120654546298454,4
Belgium,BEL,0.06366662079454419,2
Belize,BLZ,0.05238711923667181,2
Benin,BEN,0.03382039752116061,1
Bhutan,BTN,0.0303598918389474,1
Bolivia,BOL,0.04477217900886211,1
Bosnia and Herzegovina,BIH,0.1536518581864313,4
Botswana,BWA,0.08455236204222728,2
Brazil,BRA,0.06471125329390465,2
Brunei,BRN,0.06902896501186345,2
Bulgaria,BGR,0.1412067729746325,3
Burkina Faso,BFA,0.05148590379379094,2
Burundi,BDI,0.03671327965937597,1
Cambodia,KHM,0.1400137316553655,3
Cameroon,CMR,0.04518775941126053,1
Canada,CAN,0.04789673943001785,1
Cape Verde,CPV,0.03748496758472662,1
Central African Rep.,CAF,0.04733464391935335,1
Chad,TCD,0.042474428415292,1
Chile,CHL,0.0883719148379756,2
China,CHN,0.14385707708439896,3
Colombia,COL,0.059447811172647136,2
Comoros,COM,0.055483843439242085,2
Congo,COG,0.04412065877928386,1
Cook Islands,COK,,
Costa Rica,CRI,0.045640590587910874,1
Croatia,HRV,0.10425170717291748,3
Cuba,CUB,0.10866525152506491,3
Cyprus,CYP,0.08989941317100518,2
Czech Rep.,CZE,0.09934358216371562,2
Côte d'Ivoire,CIV,0.057117901465668766,2
DPR Korea,PRK,0.1123378946789771,3
Dem. Rep. of Congo,COD,0.04841647978157274,1
Denmark,DNK,0.0947736690911738,2
Djibouti,DJI,0.1097024578836019,3
Dominica,DMA,0.032039058503361174,1
Dominican Rep.,DOM,0.06167516222992237,2
Ecuador,ECU,0.03703954880509406,1
Egypt,EGY,0.12147100927563462,3
El Salvador,SLV,0.041727634954176494,1
Equatorial Guinea,GNQ,0.017311506260055697,1
Eritrea,ERI,0.026102862579183605,1
Estonia,EST,0.13834418864784181,3
Ethiopia,ETH,0.026981737190534105,1
FYR Macedonia,MKD,0.15394613246360728,4
Fed. States of Micronesia,FSM,0.10498415599399968,3
Fiji,FJI,0.07283526454461264,2
Finland,FIN,0.04246294886093935,1
France,FRA,0.040868921264772345,1
Gabon,GAB,0.05476605021293162,2
Gambia,GMB,0.051248189967728675,2
Georgia,GEO,0.1710326497619424,4
Germany,DEU,0.06531504644933618,2
Ghana,GHA,0.033030566702402,1
Greece,GRC,0.08360314040862828,2
Grenada,GRD,0.05441065982571624,2
Guatemala,GTM,0.028824800291113593,1
Guinea,GIN,0.04172276437700661,1
Guinea-Bissau,GNB,0.049889477789929484,1
Guyana,GUY,0.09466971795327667,2
Haiti,HTI,0.03332714509737245,1
Honduras,HND,0.0464684677074828,1
Hong Kong,HKG,,
Hungary,HUN,0.09961623656127008,2
Iceland,ISL,0.05987029280400113,2
India,IND,0.07883291374804807,2
Indonesia,IDN,0.1521907296420208,4
Iran,IRN,0.07146115682328834,2
Iraq,IRQ,0.08090502460673396,2
Ireland,IRL,0.07385010515897482,2
Israel,ISR,0.0547645300064393,2
Italy,ITA,0.06214212126340741,2
Jamaica,JAM,0.06938107764028639,2
Japan,JPN,0.07998977946571884,2
Jordan,JOR,0.12131310910155192,3
Kazakhstan,KAZ,0.16541134883775704,4
Kenya,KEN,0.05989063335500266,2
Kiribati,KIR,0.15749812891045195,4
Kuwait,KWT,0.0635201220982007,2
Kyrgyzstan,KGZ,0.14925395173716724,3
Latvia,LVA,0.17001989903700201,4
Lebanon,LBN,0.13238601534212197,3
Lesotho,LSO,0.0953237946771427,2
Liberia,LBR,0.04540370724001491,1
Libya,LBY,0.08161057878202428,2
Lichtenstein,LIE,,
Lithuania,LTU,0.153918051034675,4
Loa PDR,LAO,0.16884063414253056,4
Luxembourg,LUX,0.06098335511814894,2
Madagascar,MDG,0.06428276011622892,2
Malawi,MWI,0.0745049468295977,2
Malaysia,MYS,0.11228051381450041,3
Maldives,MDV,0.15229951006767922,4
Mali,MLI,0.051025022161915706,2
Malta,MLT,0.05917873356908089,2
Marshall Islands,MHL,0.0714268109947109,2
Mauritania,MRT,0.03899972893761968,1
Mauritius,MUS,0.11995254445796531,3
Mexico,MEX,0.07717719923863947,2
Moldova,MDA,0.1585558500313721,4
Monaco,MCO,,
Mongolia,MNG,0.1402399657350091,3
Montenegro,MNE,0.1930650568688136,4
Morocco,MAR,0.04638812723023995,1
Mozambique,MOZ,0.06725666685915653,2
Myanmar,MMR,0.13549679342272508,3
Namibia,NAM,0.0809078580060709,2
Nepal,NPL,0.1371830326224244,3
Netherlands,NLD,0.06784892850992007,2
New Zealand,NZL,0.0528118238143427,2
Nicaragua,NIC,0.05884510023255174,2
Niger,NER,0.024889607886727633,1
Nigeria,NGA,0.02738585247396008,1
Norway,NOR,0.057828037653375616,2
Oman,OMN,0.052644389499071624,2
Pakistan,PAK,0.08149957754355004,2
Panama,PAN,0.0221394624076414,1
Papua New Guinea,PNG,0.13467724887894203,3
Paraguay,PRY,0.0771852862567718,2
Peru,PER,0.03941081001856198,1
Philippines,PHL,0.1398374303756111,3
Poland,POL,0.14052095188479818,3
Portugal,PRT,0.06111480802751173,2
Qatar,QAT,0.07937472288834976,2
Rep. Korea,KOR,0.09417533014971419,2
Romania,ROU,0.1468383268277959,3
Russian Federation,RUS,0.1960816932260178,4
Rwanda,RWA,0.046247463143876545,1
Samoa,WSM,0.12887116909466043,3
Sao Tome and Principe,STP,0.028758408028570714,1
Saudi Arabia,SAU,0.049287929437829836,1
Senegal,SEN,0.035047471212758946,1
Serbia,SRB,0.13436436703296717,3
Seychelles,SYC,0.10889214822186506,3
Sierra Leone,SLE,0.0893094161574733,2
Singapore,SGP,0.05023431614207723,2
Slovakia,SVK,0.09468623410399427,2
Slovenia,SVN,0.065520071847215,2
Solomon Islands,SLB,0.10793806807043087,3
Somalia,SOM,0.047917607317143,1
South Africa,ZAF,0.08335342192015911,2
South Sudan,SSD,0.044302539506979044,1
Spain,ESP,0.06668460626071754,2
Sri Lanka,LKA,0.09696134895617448,2
St. Lucia,LCA,0.06735053892821109,2
St. Vincent and the Grenadines,VCT,0.06914087667785028,2
Sudan,SDN,0.04509849432041421,1
Suriname,SUR,0.10095801896664147,3
Swaziland,SWZ,0.045482421194531095,1
Sweden,SWE,0.041669059906829814,1
Switzerland,CHE,0.06682400461867365,2
Syria,SYR,0.09892600862787294,2
Tajikistan,TJK,0.020013041345338534,1
Tanzania,TZA,0.0678541594434767,2
Thailand,THA,0.10825387237294629,3
Timor-Leste,TLS,0.1486398856352604,3
Togo,TGO,0.04001907367305638,1
Tonga,TON,0.1614698880677973,4
Trinidad and Tobago,TTO,0.10572280983332942,3
Tunisia,TUN,0.12419714538003267,3
Turkey,TUR,0.11058161352942475,3
Turkmenistan,TKM,0.061601686338205425,2
Uganda,UGA,0.05494617329167959,2
Ukraine,UKR,0.19010978667360356,4
United Arab Emirates,ARE,0.08674962242585356,2
United Kingdom,GBR,0.06392348725675731,2
United States of America,USA,0.058990502127731964,2
Uruguay,URY,0.08816120168216718,2
Uzbekistan,UZB,0.06878271058537035,2
Vanuatu,VUT,0.07050094614747299,2
Venezuela,VEN,0.06824975016232135,2
Viet Nam,VNM,0.09543469366205125,2
West Bank/Gaza Strip,PSE,0.09379653574809753,2
Yemen,YEM,0.07668705448449087,2
Zambia,ZMB,0.08521299593894298,2
Zimbabwe,ZWE,0.08386765363956987,2
