Country,ISO3,Prevalence,Key Code,Symbol,,,,,,,,,
Afghanistan,AFG,21.4,3,,,,,,,,,,
Albania,ALB,40.9,5,,,,,,,,,,
Algeria,DZA,17.5,2,,,,,,,,,,
Andorra,AND,30.1,4,Yes,,,,,,,,,
Angola,AGO,14.2,2,,,,,,,,,,
Antigua and Barbuda,ATG,4.4,1,,,,,,,,,,
Argentina,ARG,21,3,Yes,,,,,,,,,
Armenia,ARM,43.5,5,,,,,,,,,,
Australia,AUS,15.6,2,Yes,,,,,,,,,
Austria,AUT,18.9,2,Yes,,,,,,,,,
Azerbaijan,AZE,36.7,4,,,,,,,,,,
Bahamas,BHS,8,1,,,,,,,,,,
Bahrain,BHR,44.5,5,,,,,,,,,,
Bangladesh,BGD,35.4,4,,,,,,,,,,
Barbados,BRB,9.1,1,,,,,,,,,,
Belarus,BLR,39.6,4,,,,,,,,,,
Belgium,BEL,21.6,3,Yes,,,,,,,,,
Belize,BLZ,13.3,2,,,,,,,,,,
Benin,BEN,8.6,1,,,,,,,,,,
Bhutan,BTN,8.5,1,,,,,,,,,,
Bolivia,BOL,22.3,3,Yes,,,,,,,,,
Bosnia and Herzegovina,BIH,39.1,4,Yes,,,,,,,,,
Botswana,BWA,25.4,3,,,,,,,,,,
Brazil,BRA,15.4,2,,,,,,,,,,
Brunei Dar.,BRN,22.6,3,,,,,,,,,,
Bulgaria,BGR,34.3,4,Yes,,,,,,,,,
Burkina Faso,BFA,30.5,4,,,,,,,,,,
Burundi,BDI,9.7,1,,,,,,,,,,
Cambodia,KHM,32.1,4,,,,,,,,,,
Cameroon,CMR,9.1,1,,,,,,,,,,
Canada,CAN,12.7,2,,,,,,,,,,
Cape Verde,CPV,17.6,2,,,,,,,,,,
Central African Rep.,CAF,11.6,2,,,,,,,,,,
Chad,TCD,11.5,2,,,,,,,,,,
Chile,CHL,28.3,3,Yes,,,,,,,,,
China,CHN,44.8,5,,,,,,,,,,
Colombia,COL,11.1,2,,,,,,,,,,
Comoros,COM,19,2,,,,,,,,,,
