location_name,ISO3,Cig consumption EM,Packaging Waste,Butt Waste,Packaging & Butt Waste,Key Code,,,
Brunei,BRN,3200000,0.96,0.544,1.504,1,,,
Antigua and Barbuda,ATG,6300000,1.89,1.071,2.961,1,,,
Dominica,DMA,8300000.000000001,2.4900000000000007,1.4110000000000003,3.9010000000000007,1,,,
Grenada,GRD,12500000,3.75,2.125,5.875,1,,,
Saint Vincent and the Grenadines,VCT,21600000,6.48,3.672,10.152000000000001,1,,,
Guinea-Bissau,GNB,28300000,8.49,4.811,13.301,1,,,
Seychelles,SYC,40300000,12.09,6.851,18.941,1,,,
Belize,BLZ,42100000,12.63,7.157,19.787,1,,,
Barbados,BRB,63900000,19.17,10.863,30.033,1,,,
Tonga,TON,67200000,20.16,11.424,31.584,1,,,
Swaziland,SWZ,75000000,22.5,12.75,35.25,1,,,
Mauritania,MRT,75900000,22.77,12.903,35.673,1,,,
Saint Lucia,LCA,79700000,23.91,13.549,37.459,1,,,
Kiribati,KIR,104100000,31.23,17.697,48.927,1,,,
The Bahamas,BHS,136400000,40.92,23.188,64.108,1,,,
Cape Verde,CPV,147900000,44.37,25.143,69.513,1,,,
Maldives,MDV,150500000,45.15,25.585,70.735,1,,,
Equatorial Guinea,GNQ,173600000,52.08,29.512,81.592,1,,,
Samoa,WSM,180500000,54.15,30.685,84.835,1,,,
Vanuatu,VUT,184700000,55.41,31.399,86.809,1,,,
Guyana,GUY,198800000,59.64,33.796,93.436,1,,,
Suriname,SUR,206000000,61.8,35.02,96.82,1,,,
Iceland,ISL,224800000,67.44,38.216,105.656,1,,,
The Gambia,GMB,275600000,82.68,46.852,129.532,1,,,
Comoros,COM,283000000,84.9,48.11,133.01,1,,,
Fiji,FJI,314600000,94.38,53.482,147.862,1,,,
Eritrea,ERI,407100000,122.13,69.207,191.337,1,,,
Liberia,LBR,413300000,123.99,70.261,194.25099999999998,1,,,
Andorra,AND,433700000,130.11,73.729,203.839,1,,,
Namibia,NAM,475700000,142.71,80.869,223.579,1,,,
Djibouti,DJI,477100000,143.13,81.107,224.237,1,,,
Gabon,GAB,501200000,150.36,85.204,235.56400000000002,1,,,
Solomon Islands,SLB,513900000,154.17,87.363,241.533,1,,,
Congo,COG,531400000,159.42,90.338,249.75799999999998,1,,,
Malta,MLT,550200000,165.06,93.534,258.594,1,,,
Montenegro,MNE,562300000,168.69,95.591,264.281,1,,,
Mauritius,MUS,562400000,168.72,95.608,264.328,1,,,
Lesotho,LSO,619600000,185.88,105.332,291.212,1,,,
Panama,PAN,639800000,191.94,108.766,300.706,1,,,
Togo,TGO,640000000,192,108.8,300.8,1,,,
Central African Republic,CAF,651700000,195.51,110.789,306.299,1,,,
Rwanda,RWA,663700000,199.11,112.829,311.939,1,,,
Jamaica,JAM,673500000,202.05,114.495,316.545,1,,,
Botswana,BWA,679900000,203.97,115.583,319.553,1,,,
Ghana,GHA,695600000,208.68,118.252,326.932,1,,,
Trinidad and Tobago,TTO,738400000,221.52,125.528,347.048,1,,,
El Salvador,SLV,934500000,280.35,158.865,439.21500000000003,1,,,
Oman,OMN,995900000,298.77,169.303,468.073,1,,,
Haiti,HTI,1034300000,310.29,175.831,486.121,1,,,
Ecuador,ECU,1092000000,327.6,185.64,513.24,1,,,
Zimbabwe,ZWE,1146500000,343.95,194.905,538.855,1,,,
Somalia,SOM,1175400000,352.62,199.818,552.438,1,,,
Guatemala,GTM,1189300000,356.79,202.181,558.971,1,,,
Bahrain,BHR,1209900000,362.97,205.683,568.653,1,,,
Niger,NER,1217300000,365.19,206.941,572.131,1,,,
Zambia,ZMB,1319600000,395.88,224.332,620.212,1,,,
Benin,BEN,1323800000,397.14,225.046,622.1859999999999,1,,,
Nicaragua,NIC,1421100000,426.33,241.587,667.9169999999999,1,,,
Libya,LBY,1458400000,437.52,247.928,685.448,1,,,
Cyprus,CYP,1508900000,452.67,256.513,709.183,1,,,
Burundi,BDI,1521000000,456.3,258.57,714.87,1,,,
Costa Rica,CRI,1559700000,467.91,265.149,733.059,1,,,
Dominican Republic,DOM,1640300000,492.09,278.851,770.941,1,,,
Sierra Leone,SLE,1789400000,536.82,304.198,841.018,1,,,
Paraguay,PRY,1817400000,545.22,308.958,854.1780000000001,1,,,
Estonia,EST,1951300000,585.39,331.721,917.111,1,,,
Qatar,QAT,1972700000,591.81,335.359,927.1689999999999,1,,,
Latvia,LVA,1992200000,597.66,338.674,936.334,1,,,
Tajikistan,TJK,2034900000,610.47,345.933,956.403,1,,,
Chad,TCD,2123699999.9999998,637.1099999999999,361.02899999999994,998.1389999999999,1,,,
Kyrgyzstan,KGZ,2135300000.0000002,640.5900000000001,363.00100000000003,1003.5910000000001,2,,,
Bolivia,BOL,2157900000,647.37,366.843,1014.213,2,,,
Cuba,CUB,2233100000,669.93,379.627,1049.557,2,,,
Peru,PER,2245700000,673.71,381.769,1055.479,2,,,
Malawi,MWI,2357300000,707.19,400.741,1107.931,2,,,
Guinea,GIN,2357400000,707.22,400.758,1107.978,2,,,
Cameroon,CMR,2359500000,707.85,401.115,1108.9650000000001,2,,,
Norway,NOR,2392000000,717.6,406.64,1124.24,2,,,
Uruguay,URY,2439900000,731.97,414.783,1146.7530000000002,2,,,
New Zealand,NZL,2508100000,752.43,426.377,1178.807,2,,,
Honduras,HND,2653900000,796.17,451.163,1247.333,2,,,
Singapore,SGP,2828000000,848.4,480.76,1329.1599999999999,2,,,
South Sudan,SSD,2838900000,851.67,482.613,1334.283,2,,,
Mali,MLI,3020600000,906.18,513.502,1419.6819999999998,2,,,
Luxembourg,LUX,3078700000,923.61,523.379,1446.989,2,,,
Senegal,SEN,3150400000,945.12,535.568,1480.688,2,,,
Lithuania,LTU,3209700000,962.91,545.649,1508.559,2,,,
