Country,iso3code,Prevalence %,Key code,,Year,Age,Use,Survey title,Survey coverage
Afghanistan,AFG,8.1,2,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey (Kabul),Subnational
Albania,ALB,6.7,1,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Algeria,DZA,2.6,1,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Andorra,AND,,,,,,,,
Angola,AGO,18.6,3,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey (Huambo),Subnational
Antigua and Barbuda,ATG,15.9,3,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Argentina,ARG,25.4,4,,2012,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Armenia,ARM,1,1,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Australia,AUS,4.9,1,,2014,12--17,Current cigarette smoking,Australian Secondary School Students Alcohol and Drug Survey (ASSAD),National
Austria,AUT,15.5,3,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Azerbaijan,AZE,2.3,1,,2016,13--15,Current tobacco smoking,Global Youth Tobacco Survey,National
Bahamas,BHS,8.4,2,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Bahrain,BHR,10.1,2,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Bangladesh,BGD,2.1,1,,2014,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Barbados,BRB,11.4,2,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Belarus,BLR,10.1,2,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Belgium,BEL,10,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children (Flemish Region),Subnational
Belize,BLZ,8.2,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Benin,BEN,2.2,1,,2009,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Bhutan,BTN,23.2,4,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Bolivia,BOL,16.4,3,,2012,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Bosnia and Herzegovina,BIH,12.6,2,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Botswana,BWA,20.5,4,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Brazil,BRA,5.6,1,,2015,13--15,Current cigarette smoking,National School Health Survey (PENSE),National
Brunei Dar.,BRN,4.8,1,,2014,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Bulgaria,BGR,30.1,5,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Burkina Faso,BFA,11.5,2,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey (Ouagadougou),Subnational
Burundi,BDI,16.8,3,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Cambodia,KHM,1.9,1,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Cameroon,CMR,0.8,1,,2012,12--18,Current tobacco smoking,Consumption of Psychoactive Substances among Secondary School Students,National
Canada,CAN,0.9,1,,2015,Grades 6-9,Current cigarette smoking,"Canadian Student Tobacco, Alcohol and Drugs Survey (CSTADS)",National
Cape Verde,CPV,5.7,1,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Central African Rep.,CAF,34.5,5,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Bangui),Subnational
Chad,TCD,13.9,2,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Chile,CHL,27.8,5,,2013,13--15,Current tobacco use,Global School-Based Student Health Survey,National
China,CHN,2.2,1,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Colombia,COL,9,2,,2011,13--15,Current cigarette smoking,National Survey of Psychoactive Substance Use in the School Population,National
Comoros,COM,7.7,2,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Congo,COG,20.4,4,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Cook Islands,COK,13.9,2,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Costa Rica,CRI,8.1,2,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
